m,nk,k,grid,ctas,ar_mib,tc_over_tg,E_1clk_mJ,E_1clk_ms,E_1clk_f,E_2clk_mJ,E_2clk_ms,E_2clk_fg,E_2clk_fc,E_dE_pct,E_dT_pct,T_1clk_mJ,T_1clk_ms,T_1clk_f,T_2clk_mJ,T_2clk_ms,T_2clk_fg,T_2clk_fc,T_dE_pct,T_dT_pct,EDP_1clk_mJ,EDP_1clk_ms,EDP_1clk_f,EDP_2clk_mJ,EDP_2clk_ms,EDP_2clk_fg,EDP_2clk_fc,EDP_dE_pct,EDP_dT_pct
2048,4096,4096,256,32,64,1.4469,150.98,0.741,900,147.82,0.6829,900,1200,-2.09,-7.85,159.16,0.5829,1200,160.95,0.5597,1200,1410,1.13,-3.97,159.16,0.5829,1200,160.95,0.5597,1200,1410,1.13,-3.97
2048,8192,8192,512,1,64,5.7242,996.65,6.9937,1200,737.39,6.0355,300,1410,-26.01,-13.7,996.65,6.9937,1200,737.39,6.0355,300,1410,-26.01,-13.7,996.65,6.9937,1200,737.39,6.0355,300,1410,-26.01,-13.7
2048,8192,8192,512,2,64,2.8757,660.6,4.5591,900,510.09,3.0506,510,1410,-22.78,-33.09,665.37,3.5252,1200,510.09,3.0506,510,1410,-23.34,-13.46,665.37,3.5252,1200,510.09,3.0506,510,1410,-23.34,-13.46
2048,8192,8192,512,4,64,1.5005,477.8,2.3789,900,410.51,1.6272,900,1410,-14.08,-31.6,513.53,1.8676,1200,410.51,1.6272,900,1410,-20.06,-12.88,513.53,1.8676,1200,410.51,1.6272,900,1410,-20.06,-12.88
2048,8192,8192,512,8,64,0.8349,421.0,1.8501,900,410.08,1.7716,900,1410,-2.6,-4.25,461.67,1.4142,1200,456.0,1.3872,1200,1410,-1.23,-1.91,461.67,1.4142,1200,456.0,1.3872,1200,1410,-1.23,-1.91
2048,8192,8192,512,16,64,0.5373,402.24,1.7558,900,400.73,1.7211,900,1200,-0.38,-1.97,445.65,1.3368,1200,446.72,1.3251,1200,1410,0.24,-0.88,445.65,1.3368,1200,446.72,1.3251,1200,1410,0.24,-0.88
2048,8192,8192,512,32,64,0.4674,407.39,1.8818,900,406.71,1.8186,900,1200,-0.17,-3.36,450.09,1.4342,1200,456.87,1.4249,1200,1410,1.51,-0.65,450.09,1.4342,1200,450.09,1.4342,1200,1200,0.0,0.0
2048,16384,16384,1024,1,64,1.4842,1796.95,9.0752,900,1515.45,6.1145,900,1410,-15.67,-32.62,1932.77,6.9937,1200,1806.2,6.0355,1200,1410,-6.55,-13.7,1932.77,6.9937,1200,1515.45,6.1145,900,1410,-21.59,-12.57
2048,16384,16384,1024,2,64,0.7456,1505.71,6.1145,900,1461.05,6.1145,900,1410,-2.97,0.0,1676.41,4.6005,1200,1650.94,4.6005,1200,1410,-1.52,0.0,1676.41,4.6005,1200,1650.94,4.6005,1200,1410,-1.52,0.0
2048,16384,16384,1024,4,64,0.3891,1456.68,6.1145,900,1439.51,6.1145,900,1410,-1.18,0.0,1640.03,4.6005,1200,1628.02,4.6005,1200,1410,-0.73,0.0,1640.03,4.6005,1200,1628.02,4.6005,1200,1410,-0.73,0.0
2048,16384,16384,1024,8,64,0.2165,1440.45,6.2468,900,1438.84,6.2211,900,1200,-0.11,-0.41,1627.17,4.7071,1200,1626.29,4.6936,1200,1410,-0.05,-0.29,1627.17,4.7071,1200,1626.29,4.6936,1200,1410,-0.05,-0.29
2048,16384,16384,1024,16,64,0.1393,1429.8,6.2848,900,1429.8,6.2848,900,900,0.0,0.0,1618.58,4.7363,1200,1627.56,4.7245,1200,1410,0.56,-0.25,1618.58,4.7363,1200,1618.58,4.7363,1200,1200,0.0,0.0
2048,16384,16384,1024,32,64,0.1212,1434.96,6.4109,900,1434.96,6.4109,900,900,0.0,0.0,1623.01,4.8337,1200,1645.63,4.8244,1200,1410,1.39,-0.19,1623.01,4.8337,1200,1623.01,4.8337,1200,1200,0.0,0.0
4096,4096,4096,512,1,64,10.8867,844.67,6.9937,1200,611.78,6.0355,300,1410,-27.57,-13.7,844.67,6.9937,1200,611.78,6.0355,300,1410,-27.57,-13.7,844.67,6.9937,1200,611.78,6.0355,300,1410,-27.57,-13.7
4096,4096,4096,512,2,64,5.4692,513.39,3.5252,1200,387.57,3.0506,510,1410,-24.51,-13.46,513.39,3.5252,1200,387.57,3.0506,510,1410,-24.51,-13.46,513.39,3.5252,1200,387.57,3.0506,510,1410,-24.51,-13.46
4096,4096,4096,512,4,64,2.8538,355.65,2.3789,900,281.42,1.6272,510,1410,-20.87,-31.6,361.55,1.8676,1200,281.42,1.6272,510,1410,-22.16,-12.88,361.55,1.8676,1200,281.42,1.6272,510,1410,-22.16,-12.88
4096,4096,4096,512,8,64,1.5878,266.55,1.3236,900,239.24,1.0003,900,1410,-10.25,-24.42,285.42,1.0659,1200,271.69,0.9308,1200,1410,-4.81,-12.67,285.42,1.0659,1200,239.24,1.0003,900,1410,-16.18,-6.15
4096,4096,4096,512,16,64,1.0218,233.74,1.0003,900,231.53,0.9693,900,1200,-0.95,-3.1,253.52,0.7605,1200,253.9,0.7578,1200,1410,0.15,-0.36,253.52,0.7605,1200,253.9,0.7578,1200,1410,0.15,-0.36
4096,4096,4096,512,32,64,0.8889,239.11,1.13,900,236.59,1.0667,900,1200,-1.06,-5.6,258.58,0.8669,1200,262.73,0.8576,1200,1410,1.6,-1.07,258.58,0.8669,1200,258.58,0.8669,1200,1200,0.0,0.0
4096,8192,8192,1024,1,64,2.907,1301.22,9.0752,900,991.04,6.0355,510,1410,-23.84,-33.49,1311.8,6.9937,1200,991.04,6.0355,510,1410,-24.45,-13.7,1311.8,6.9937,1200,991.04,6.0355,510,1410,-24.45,-13.7
