ctas,comm_sm_pct,ar_mib,m,nk,f_gemm,f_comm,iter_ms,energy_mj,base_energy_mj,base_iter_ms,base_clock,dE_vs_auto_pct,is_best_pair_for_workload,is_global_fixed_pair
2,1.9,64,1024,4096,1305,1410,3.0485,392.78,456.24,3.2288,1410,-13.91,False,False
2,1.9,64,1024,4096,1410,300,12.5602,1465.09,456.24,3.2288,1410,+221.13,False,False
2,1.9,64,1024,4096,1410,510,7.6145,923.52,456.24,3.2288,1410,+102.42,False,False
2,1.9,64,1024,4096,1410,705,5.7157,714.99,456.24,3.2288,1410,+56.71,False,False
2,1.9,64,1024,4096,1410,900,4.5848,594.29,456.24,3.2288,1410,+30.26,False,False
2,1.9,64,1024,4096,1410,1050,3.9733,515.84,456.24,3.2288,1410,+13.06,False,False
2,1.9,64,1024,4096,1410,1200,3.5238,482.24,456.24,3.2288,1410,+5.70,False,False
2,1.9,64,1024,4096,1410,1305,3.2662,436.37,456.24,3.2288,1410,-4.35,False,False
2,1.9,64,1024,4096,1410,1410,3.0485,430.20,456.24,3.2288,1410,-5.71,False,False
2,1.9,64,1024,8192,300,300,12.5602,1191.08,628.12,3.2139,1410,+89.63,False,False
2,1.9,64,1024,8192,300,510,7.6145,790.30,628.12,3.2139,1410,+25.82,False,False
2,1.9,64,1024,8192,300,705,5.7157,635.83,628.12,3.2139,1410,+1.23,False,False
2,1.9,64,1024,8192,300,900,4.5848,547.33,628.12,3.2139,1410,-12.86,False,False
2,1.9,64,1024,8192,300,1050,3.9733,486.28,628.12,3.2139,1410,-22.58,False,False
2,1.9,64,1024,8192,300,1200,3.5238,465.48,628.12,3.2139,1410,-25.89,False,False
2,1.9,64,1024,8192,300,1305,3.2662,426.95,628.12,3.2139,1410,-32.03,False,False
2,1.9,64,1024,8192,300,1410,3.0485,426.97,628.12,3.2139,1410,-32.02,False,False
2,1.9,64,1024,8192,510,300,12.5602,1199.93,628.12,3.2139,1410,+91.04,False,False
2,1.9,64,1024,8192,510,510,7.6145,793.15,628.12,3.2139,1410,+26.27,False,False
2,1.9,64,1024,8192,510,705,5.7157,636.38,628.12,3.2139,1410,+1.32,False,False
2,1.9,64,1024,8192,510,900,4.5848,546.50,628.12,3.2139,1410,-12.99,False,False
2,1.9,64,1024,8192,510,1050,3.9733,484.72,628.12,3.2139,1410,-22.83,False,False
2,1.9,64,1024,8192,510,1200,3.5238,463.37,628.12,3.2139,1410,-26.23,False,False
2,1.9,64,1024,8192,510,1305,3.2662,424.52,628.12,3.2139,1410,-32.41,False,False
2,1.9,64,1024,8192,510,1410,3.0485,424.28,628.12,3.2139,1410,-32.45,True,True
2,1.9,64,1024,8192,705,300,12.5602,1219.85,628.12,3.2139,1410,+94.21,False,False
2,1.9,64,1024,8192,705,510,7.6145,804.46,628.12,3.2139,1410,+28.07,False,False
2,1.9,64,1024,8192,705,705,5.7157,644.38,628.12,3.2139,1410,+2.59,False,False
2,1.9,64,1024,8192,705,900,4.5848,552.54,628.12,3.2139,1410,-12.03,False,False
2,1.9,64,1024,8192,705,1050,3.9733,489.68,628.12,3.2139,1410,-22.04,False,False
2,1.9,64,1024,8192,705,1200,3.5238,467.55,628.12,3.2139,1410,-25.56,False,False
2,1.9,64,1024,8192,705,1305,3.2662,428.26,628.12,3.2139,1410,-31.82,False,False
2,1.9,64,1024,8192,705,1410,3.0485,427.64,628.12,3.2139,1410,-31.92,False,False
2,1.9,64,1024,8192,900,300,12.5602,1244.55,628.12,3.2139,1410,+98.14,False,False
2,1.9,64,1024,8192,900,510,7.6145,819.55,628.12,3.2139,1410,+30.48,False,False
2,1.9,64,1024,8192,900,705,5.7157,655.78,628.12,3.2139,1410,+4.40,False,False
2,1.9,64,1024,8192,900,900,4.5848,561.74,628.12,3.2139,1410,-10.57,False,False
2,1.9,64,1024,8192,900,1050,3.9733,497.70,628.12,3.2139,1410,-20.76,False,False
2,1.9,64,1024,8192,900,1200,3.5238,474.70,628.12,3.2139,1410,-24.43,False,False
2,1.9,64,1024,8192,900,1305,3.2662,434.90,628.12,3.2139,1410,-30.76,False,False
2,1.9,64,1024,8192,900,1410,3.0485,433.86,628.12,3.2139,1410,-30.93,False,False
2,1.9,64,1024,8192,1050,300,12.5602,1296.94,628.12,3.2139,1410,+106.48,False,False
2,1.9,64,1024,8192,1050,510,7.6145,851.79,628.12,3.2139,1410,+35.61,False,False
2,1.9,64,1024,8192,1050,705,5.7157,680.28,628.12,3.2139,1410,+8.30,False,False
2,1.9,64,1024,8192,1050,900,4.5848,581.63,628.12,3.2139,1410,-7.40,False,False
2,1.9,64,1024,8192,1050,1050,3.9733,515.10,628.12,3.2139,1410,-17.99,False,False
2,1.9,64,1024,8192,1050,1200,3.5238,490.26,628.12,3.2139,1410,-21.95,False,False
2,1.9,64,1024,8192,1050,1305,3.2662,449.42,628.12,3.2139,1410,-28.45,False,False
2,1.9,64,1024,8192,1050,1410,3.0485,447.49,628.12,3.2139,1410,-28.76,False,False
2,1.9,64,1024,8192,1200,300,12.5602,1379.83,628.12,3.2139,1410,+119.68,False,False
2,1.9,64,1024,8192,1200,510,7.6145,914.52,628.12,3.2139,1410,+45.60,False,False
2,1.9,64,1024,8192,1200,705,5.7157,735.28,628.12,3.2139,1410,+17.06,False,False
2,1.9,64,1024,8192,1200,900,4.5848,632.02,628.12,3.2139,1410,+0.62,False,False
2,1.9,64,1024,8192,1200,1050,3.9733,563.00,628.12,3.2139,1410,-10.37,False,False
2,1.9,64,1024,8192,1200,1200,3.5238,536.33,628.12,3.2139,1410,-14.61,False,False
2,1.9,64,1024,8192,1200,1305,3.2662,494.44,628.12,3.2139,1410,-21.28,False,False
