shape,m,n,k,ar_mib,ctas,mode,world,iter_ms,iters,t_gemm_conc_ms,t_comm_conc_ms,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples
high_occ,8192,4096,4096,256,8,concurrent,4,4.1516,748,1.4838,4.1196,1200,True,763.7,190.92,120
low_occ,1024,4096,16384,64,16,gemm_only,4,0.653,5110,0.875,0.8632,1200,True,1293.6,323.41,130
low_occ,1024,4096,16384,64,16,comm_only,4,0.6836,4725,0.875,0.8632,1200,True,502.3,125.58,126
low_occ,1024,4096,16384,64,16,serial,4,1.3219,2510,0.875,0.8632,1200,True,925.7,231.44,131
low_occ,1024,4096,16384,64,16,concurrent,4,1.0205,3627,0.875,0.8632,1200,True,1100.3,275.08,150
low_occ,1024,4096,16384,256,16,gemm_only,4,0.6505,5113,0.9851,2.4402,1200,True,1303.3,325.82,131
low_occ,1024,4096,16384,256,16,comm_only,4,2.3864,804,0.9851,2.4402,1200,True,530.1,132.51,61
low_occ,1024,4096,16384,256,16,serial,4,3.0151,1081,0.9851,2.4402,1200,True,710.0,177.49,127
low_occ,1024,4096,16384,256,16,concurrent,4,2.4812,1280,0.9851,2.4402,1200,True,783.9,195.97,123
high_occ,8192,4096,4096,64,16,gemm_only,4,1.2298,2664,1.364,0.7552,1200,True,1321.7,330.42,128
high_occ,8192,4096,4096,64,16,comm_only,4,0.6863,2812,1.364,0.7552,1200,True,505.8,126.46,61
high_occ,8192,4096,4096,64,16,serial,4,1.9022,1734,1.364,0.7552,1200,True,1061.6,265.4,130
high_occ,8192,4096,4096,64,16,concurrent,4,1.5235,2304,1.364,0.7552,1200,True,1257.3,314.32,140
high_occ,8192,4096,4096,256,16,gemm_only,4,1.2294,2662,1.7239,2.4658,1200,True,1327.9,331.98,128
high_occ,8192,4096,4096,256,16,comm_only,4,2.3873,1057,1.7239,2.4658,1200,True,531.9,132.96,91
high_occ,8192,4096,4096,256,16,serial,4,3.5933,906,1.7239,2.4658,1200,True,830.0,207.49,127
high_occ,8192,4096,4096,256,16,concurrent,4,2.501,1191,1.7239,2.4658,1200,True,1026.2,256.55,114
