mib,m,nk,ctas,tc_over_tg,E_dE_pct,E_dT_pct,T_dE_pct,T_dT_pct,EDP_dE_pct,EDP_dT_pct,matched_dE_pct,vs_measured_dE_pct,compose_bias_pct
512,1024,8192,8,11.646,-15.03,-11.94,-15.03,-11.94,-15.03,-11.94,-15.03,-14.34,0.81
512,1024,8192,16,6.816,-9.78,0.0,-8.76,-7.87,-8.76,-7.87,-9.78,-9.14,0.72
512,1024,8192,32,5.966,-8.75,0.0,-4.67,-5.38,-4.67,-5.38,-8.75,-8.13,0.68
512,2048,4096,4,36.26,-19.98,-13.07,-19.98,-13.07,-19.98,-13.07,-19.98,-19.44,0.68
512,2048,4096,8,19.546,-14.86,-11.94,-14.86,-11.94,-14.86,-11.94,-14.86,-14.27,0.69
512,2048,4096,16,11.441,-8.91,0.0,-7.71,-7.87,-7.71,-7.87,-8.91,-8.22,0.76
512,2048,4096,32,10.014,-7.43,0.0,-2.79,-5.38,-2.79,-5.38,-7.43,-7.31,0.13
512,2048,8192,4,11.69,-19.66,-13.07,-19.66,-13.07,-19.66,-13.07,-19.66,-18.99,0.84
512,2048,8192,8,6.302,-15.46,-11.94,-15.46,-11.94,-15.46,-11.94,-15.46,-15.14,0.39
512,2048,8192,16,3.688,-10.21,-21.21,-10.66,-7.87,-10.66,-7.87,-11.52,-11.24,0.32
512,2048,8192,32,3.228,-9.54,-23.14,-7.25,-5.38,-7.25,-5.38,-10.79,-11.05,-0.3
512,4096,4096,4,22.237,-19.89,-13.07,-19.89,-13.07,-19.89,-13.07,-19.89,-19.08,1.02
512,4096,4096,8,11.987,-15.09,-11.94,-15.09,-11.94,-15.09,-11.94,-15.09,-14.58,0.6
512,4096,4096,16,7.016,-9.84,0.0,-8.78,-7.87,-8.78,-7.87,-9.84,-9.36,0.53
512,4096,4096,32,6.141,-8.77,0.0,-4.67,-5.38,-4.67,-5.38,-8.77,-8.99,-0.24
512,8192,8192,4,3.14,-17.66,-32.5,-19.61,-13.07,-19.61,-13.07,-19.61,-19.2,0.51
512,8192,8192,8,1.693,-9.69,-30.62,-16.72,-11.94,-16.72,-11.94,-16.72,-16.48,0.29
512,8192,8192,16,0.991,-1.12,-3.66,1.48,-0.8,0.0,0.0,0.0,-3.05,-3.05
512,8192,8192,32,0.867,-1.31,-6.19,2.36,-1.46,0.0,0.0,0.0,-7.89,-7.89
