ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
2,0,1024,4096,4096,concurrent,128,2,64.0,128,6.19996,340,1410,True,502.1,125.53,75,4
2,0,1024,8192,8192,concurrent,512,5,102.4,128,6.19906,424,1410,True,611.6,152.91,101,4
2,0,2048,4096,4096,concurrent,256,3,85.33,128,6.16999,428,1410,True,538.7,134.67,102,4
2,0,2048,8192,8192,concurrent,512,5,102.4,128,6.26085,423,1410,True,743.3,185.82,102,4
2,0,4096,4096,4096,concurrent,512,5,102.4,128,6.18803,426,1410,True,616.1,154.03,101,4
2,0,8192,8192,8192,concurrent,2048,19,107.79,128,6.76444,365,1380,True,1561.6,390.41,93,4
4,0,1024,4096,4096,concurrent,128,2,64.0,128,3.36304,661,1410,True,576.8,144.19,80,4
4,0,1024,8192,8192,concurrent,512,5,102.4,128,3.34171,793,1410,True,781.4,195.35,102,4
4,0,2048,4096,4096,concurrent,256,3,85.33,128,3.31089,800,1410,True,648.7,162.17,102,4
4,0,2048,8192,8192,concurrent,512,5,102.4,128,3.40668,726,1410,True,1051.1,262.77,93,4
4,0,4096,4096,4096,concurrent,512,5,102.4,128,3.33267,796,1410,True,799.7,199.93,102,4
4,0,8192,8192,8192,concurrent,2048,19,107.79,128,4.83561,598,1170,True,1596.2,399.05,114,4
8,0,1024,4096,4096,concurrent,128,2,64.0,128,1.88419,1180,1410,True,696.1,174.03,80,4
8,0,1024,8192,8192,concurrent,512,5,102.4,128,1.89443,1279,1410,True,1076.5,269.12,90,4
8,0,2048,4096,4096,concurrent,256,3,85.33,128,1.86616,1433,1410,True,829.9,207.48,103,4
8,0,2048,8192,8192,concurrent,512,5,102.4,128,1.92995,1252,1395,True,1548.9,387.22,90,4
8,0,4096,4096,4096,concurrent,512,5,102.4,128,1.89335,1292,1410,True,1101.6,275.39,92,4
8,0,8192,8192,8192,concurrent,2048,19,107.79,128,4.89519,620,1230,True,1597.6,399.39,121,4
12,0,1024,4096,4096,concurrent,128,2,64.0,128,1.43334,1598,1410,True,773.4,193.36,83,4
12,0,1024,8192,8192,concurrent,512,5,102.4,128,1.45259,1710,1410,True,1276.5,319.12,94,4
12,0,2048,4096,4096,concurrent,256,3,85.33,128,1.42734,1907,1410,True,950.2,237.56,105,4
12,0,2048,8192,8192,concurrent,512,5,102.4,128,1.662,1517,1335,True,1589.1,397.27,95,4
12,0,4096,4096,4096,concurrent,512,5,102.4,128,1.44346,1669,1410,True,1299.7,324.92,90,4
12,0,8192,8192,8192,concurrent,2048,19,107.79,128,4.91444,601,1185,True,1590.4,397.59,117,4
16,0,1024,4096,4096,concurrent,128,2,64.0,128,1.20712,1878,1410,True,843.3,210.83,83,4
16,0,1024,8192,8192,concurrent,512,5,102.4,128,1.23798,1957,1410,True,1436.7,359.19,91,4
16,0,2048,4096,4096,concurrent,256,3,85.33,128,1.20318,2113,1410,True,1061.9,265.46,97,4
16,0,2048,8192,8192,concurrent,512,5,102.4,128,1.63785,1863,1275,True,1593.7,398.43,122,4
16,0,4096,4096,4096,concurrent,512,5,102.4,128,1.21935,1963,1410,True,1466.5,366.63,89,4
16,0,8192,8192,8192,concurrent,2048,19,107.79,128,4.89122,599,1200,True,1589.6,397.41,116,4
22,0,1024,4096,4096,concurrent,128,2,64.0,128,1.13028,2021,1410,True,878.3,219.57,83,4
22,0,1024,8192,8192,concurrent,512,5,102.4,128,1.1451,2199,1410,True,1528.9,382.24,96,4
22,0,2048,4096,4096,concurrent,256,3,85.33,128,1.12435,2352,1410,True,1111.2,277.79,102,4
22,0,2048,8192,8192,concurrent,512,5,102.4,128,1.65284,1808,1305,True,1571.2,392.8,119,4
22,0,4096,4096,4096,concurrent,512,5,102.4,128,1.14079,2180,1380,True,1549.8,387.44,94,4
22,0,8192,8192,8192,concurrent,2048,19,107.79,128,4.9431,584,1215,True,1587.3,396.82,114,4
32,0,1024,4096,4096,concurrent,128,2,64.0,128,1.08988,2094,1410,True,898.8,224.69,84,4
32,0,1024,8192,8192,concurrent,512,5,102.4,128,1.26267,2368,1410,True,1429.3,357.33,119,4
32,0,2048,4096,4096,concurrent,256,3,85.33,128,1.08399,2292,1410,True,1146.6,286.64,94,4
32,0,2048,8192,8192,concurrent,512,5,102.4,128,1.83543,1675,1350,True,1602.2,400.55,123,4
32,0,4096,4096,4096,concurrent,512,5,102.4,128,1.24805,2399,1410,True,1483.4,370.86,119,4
