clock,ctas,m,n,k,grid,waves,s_eff,occ_pct,clock_min,throttled,t_gemm_ms,t_comm_ms,t_serial_ms,t_conc_meas_ms,t_conc_pred_ms,err_t_pct,p_meas_w,p_model_measT_w,err_p_measT_pct,p_model_predT_w,err_p_predT_pct,speedup
900,1,8192,8192,8192,2048,19,107.79,99.8,900,False,5.8994,9.0752,14.8638,9.8027,9.0752,-7.42,187.91,190.45,1.35,200.8,6.86,1.5163
900,1,1024,16384,16384,512,5,102.4,94.8,900,False,3.0825,9.0752,12.0968,9.4865,9.0752,-4.34,138.89,140.85,1.41,144.45,4.0,1.2752
900,1,2048,16384,16384,1024,10,102.4,94.8,900,False,6.1145,9.0752,15.0791,9.7633,9.0752,-7.05,184.32,191.04,3.65,200.88,8.98,1.5445
900,1,4096,16384,16384,2048,19,107.79,99.8,900,False,11.5825,9.0752,20.5313,12.334,12.1922,-1.15,245.94,246.6,0.27,248.76,1.15,1.6646
900,1,8192,16384,16384,4096,38,107.79,99.8,900,False,23.1,9.0752,32.0525,23.8569,23.7079,-0.62,243.44,242.63,-0.33,243.77,0.13,1.3435
705,1,1024,4096,4096,128,2,64.0,59.3,705,False,0.4418,11.3748,11.7983,11.477,11.3748,-0.89,85.8,87.29,1.74,87.54,2.03,1.028
705,1,2048,4096,4096,256,3,85.33,79.0,705,False,0.6451,11.3748,11.9977,11.5274,11.3748,-1.32,87.84,90.02,2.49,90.44,2.95,1.0408
705,1,4096,4096,4096,512,5,102.4,94.8,705,False,1.0549,11.3748,12.3927,11.5569,11.3748,-1.58,92.86,95.58,2.93,96.16,3.55,1.0723
705,1,8192,4096,4096,1024,10,102.4,94.8,705,False,2.0584,11.3748,13.3812,11.6653,11.3748,-2.49,103.83,106.14,2.23,107.34,3.38,1.1471
705,1,1024,8192,8192,512,5,102.4,94.8,705,False,1.0858,11.3748,12.4276,11.5757,11.3748,-1.74,93.45,96.3,3.05,96.95,3.75,1.0736
705,1,2048,8192,8192,512,5,102.4,94.8,705,False,2.0124,11.3748,13.6213,11.6543,11.3748,-2.4,103.18,106.5,3.22,107.66,4.34,1.1688
705,1,4096,8192,8192,1024,10,102.4,94.8,705,False,3.9749,11.3748,15.2519,11.8377,11.3748,-3.91,122.08,127.56,4.49,130.33,6.76,1.2884
705,1,8192,8192,8192,2048,19,107.79,99.8,705,False,7.5177,11.3748,18.7707,12.1629,11.3748,-6.48,164.36,168.0,2.21,175.52,6.79,1.5433
705,1,1024,16384,16384,512,5,102.4,94.8,705,False,3.9247,11.3748,15.2026,11.8258,11.3748,-3.81,122.54,127.84,4.33,130.56,6.54,1.2855
705,1,2048,16384,16384,1024,10,102.4,94.8,705,False,7.7946,11.3748,19.0418,12.1156,11.3748,-6.11,163.21,168.93,3.51,176.07,7.88,1.5717
