clock,ctas,m,nk,grid,measured_w,clock_achieved,throttled,model_mean_w,model_peak_w,mean_predicts,peak_predicts,mean_correct,peak_correct
705,16,8192,16384,4096,206.46,705,False,196.7,240.7,False,False,True,True
510,16,1024,4096,128,121.43,510,False,119.9,193.2,False,False,True,True
510,16,2048,4096,256,144.42,510,False,142.7,193.2,False,False,True,True
510,16,4096,4096,512,157.29,510,False,151.6,193.2,False,False,True,True
510,16,8192,4096,1024,163.19,510,False,152.4,193.2,False,False,True,True
510,16,1024,8192,512,157.88,510,False,154.8,196.7,False,False,True,True
510,16,2048,8192,512,158.17,510,False,148.3,196.7,False,False,True,True
510,16,4096,8192,1024,165.35,510,False,150.6,196.7,False,False,True,True
510,16,8192,8192,2048,167.58,510,False,156.3,196.7,False,False,True,True
510,16,1024,16384,512,158.43,510,False,144.7,198.4,False,False,True,True
510,16,2048,16384,1024,167.6,510,False,156.9,198.4,False,False,True,True
510,16,4096,16384,2048,167.05,510,False,156.5,198.4,False,False,True,True
510,16,8192,16384,4096,165.42,510,False,158.2,198.4,False,False,True,True
300,16,1024,4096,128,108.78,300,False,107.3,149.3,False,False,True,True
300,16,2048,4096,256,121.77,300,False,118.9,149.3,False,False,True,True
300,16,4096,4096,512,128.77,300,False,121.4,149.3,False,False,True,True
300,16,8192,4096,1024,127.66,300,False,118.1,149.3,False,False,True,True
300,16,1024,8192,512,128.7,300,False,122.8,151.4,False,False,True,True
300,16,2048,8192,512,124.44,300,False,115.2,151.4,False,False,True,True
300,16,4096,8192,1024,121.99,300,False,115.9,151.4,False,False,True,True
300,16,8192,8192,2048,125.9,300,False,118.3,151.4,False,False,True,True
300,16,1024,16384,512,123.48,300,False,111.8,152.4,False,False,True,True
300,16,2048,16384,1024,125.91,300,False,119.6,152.4,False,False,True,True
300,16,4096,16384,2048,119.55,300,False,118.0,152.4,False,False,True,True
300,16,8192,16384,4096,117.28,300,False,118.8,152.4,False,False,True,True
1410,32,1024,4096,128,243.4,1410,False,259.3,642.0,False,True,True,False
1410,32,2048,4096,256,308.13,1410,False,322.5,642.0,False,True,True,False
1410,32,4096,4096,512,375.38,1410,False,391.6,642.0,False,True,True,False
1410,32,8192,4096,1024,398.75,1320,True,463.0,642.0,True,True,True,True
1410,32,1024,8192,512,382.16,1410,False,405.7,653.7,True,True,False,False
1410,32,2048,8192,512,400.81,1335,True,472.9,653.7,True,True,True,True
