m,nk,ctas,ar_mib,tc_over_tg,E_Bmeas_mJ,E_Bmeas_ms,E_Bmeas_f,E_Bcomp_mJ,E_Bcomp_ms,E_C_mJ,E_C_ms,E_C_fg,E_C_fc,E_C_vs_Bmeas_pct,E_C_vs_Bcomp_pct,E_compbias_pct,T_Bmeas_mJ,T_Bmeas_ms,T_Bmeas_f,T_Bcomp_mJ,T_Bcomp_ms,T_C_mJ,T_C_ms,T_C_fg,T_C_fc,T_C_vs_Bmeas_pct,T_C_vs_Bcomp_pct,T_compbias_pct,EDP_Bmeas_mJ,EDP_Bmeas_ms,EDP_Bmeas_f,EDP_Bcomp_mJ,EDP_Bcomp_ms,EDP_C_mJ,EDP_C_ms,EDP_C_fg,EDP_C_fc,EDP_C_vs_Bmeas_pct,EDP_C_vs_Bcomp_pct,EDP_compbias_pct
1024,16384,16,64,0.2763,841.29,3.8455,900,750.88,3.2529,750.88,3.2529,900,900,-10.75,0.0,-10.75,841.29,3.8455,900,750.88,3.2529,844.96,2.4963,1200,900,0.44,12.53,-10.75,841.29,3.8455,900,750.88,3.2529,844.96,2.4963,1200,900,0.44,12.53,-10.75
1024,16384,32,64,0.2404,814.99,3.8209,900,756.03,3.3789,756.03,3.3789,900,900,-7.23,0.0,-7.23,814.99,3.8209,900,756.03,3.3789,847.78,2.6223,1200,900,4.02,12.14,-7.23,814.99,3.8209,900,756.03,3.3789,847.78,2.6223,1200,900,4.02,12.14,-7.23
2048,4096,1,64,17.7198,758.58,7.1269,1200,765.02,6.9937,546.78,6.0355,300,1410,-27.92,-28.53,0.85,758.58,7.1269,1200,765.02,6.9937,546.78,6.0355,300,1410,-27.92,-28.53,0.85,758.58,7.1269,1200,765.02,6.9937,546.78,6.0355,300,1410,-27.92,-28.53,0.85
2048,4096,2,64,8.9019,437.56,3.6733,1200,433.75,3.5252,322.8,3.0506,300,1410,-26.23,-25.58,-0.87,437.56,3.6733,1200,433.75,3.5252,322.8,3.0506,300,1410,-26.23,-25.58,-0.87,437.56,3.6733,1200,433.75,3.5252,322.8,3.0506,300,1410,-26.23,-25.58,-0.87
2048,4096,4,64,4.645,287.83,1.9998,1200,281.91,1.8676,218.41,1.6272,300,1410,-24.12,-22.52,-2.06,287.83,1.9998,1200,281.91,1.8676,218.41,1.6272,300,1410,-24.12,-22.52,-2.06,287.83,1.9998,1200,281.91,1.8676,218.41,1.6272,300,1410,-24.12,-22.52,-2.06
2048,4096,8,64,2.5844,205.21,1.4153,900,202.28,1.3236,167.65,0.9308,510,1410,-18.31,-17.12,-1.43,210.18,1.1487,1200,205.78,1.0659,167.65,0.9308,510,1410,-20.24,-18.53,-2.09,210.18,1.1487,1200,205.78,1.0659,167.65,0.9308,510,1410,-20.24,-18.53,-2.09
2048,4096,16,64,1.6631,166.37,0.941,900,160.36,0.8518,145.63,0.6451,705,1410,-12.47,-9.18,-3.62,175.82,0.7621,1200,168.18,0.6787,145.65,0.6201,900,1410,-17.16,-13.4,-4.35,175.82,0.7621,1200,168.18,0.6787,145.65,0.6201,900,1410,-17.16,-13.4,-4.35
2048,4096,32,64,1.4469,172.44,1.0002,900,150.98,0.741,147.82,0.6829,900,1200,-14.28,-2.09,-12.45,178.49,0.7997,1200,159.16,0.5829,160.95,0.5597,1200,1410,-9.83,1.13,-10.83,178.49,0.7997,1200,159.16,0.5829,160.95,0.5597,1200,1410,-9.83,1.13,-10.83
2048,8192,1,64,5.7242,992.75,7.2179,1200,996.65,6.9937,737.39,6.0355,300,1410,-25.72,-26.01,0.39,992.75,7.2179,1200,996.65,6.9937,737.39,6.0355,300,1410,-25.72,-26.01,0.39,992.75,7.2179,1200,996.65,6.9937,737.39,6.0355,300,1410,-25.72,-26.01,0.39
2048,8192,2,64,2.8757,671.12,3.7646,1200,660.6,4.5591,510.09,3.0506,510,1410,-23.99,-22.78,-1.57,671.12,3.7646,1200,665.37,3.5252,510.09,3.0506,510,1410,-23.99,-23.34,-0.86,671.12,3.7646,1200,665.37,3.5252,510.09,3.0506,510,1410,-23.99,-23.34,-0.86
2048,8192,4,64,1.5005,495.51,2.6468,900,477.8,2.3789,410.51,1.6272,900,1410,-17.15,-14.08,-3.57,529.38,2.1027,1200,513.53,1.8676,410.51,1.6272,900,1410,-22.45,-20.06,-2.99,529.38,2.1027,1200,513.53,1.8676,410.51,1.6272,900,1410,-22.45,-20.06,-2.99
2048,8192,8,64,0.8349,445.14,2.0749,900,421.0,1.8501,410.08,1.7716,900,1410,-7.88,-2.6,-5.42,489.71,1.6197,1200,461.67,1.4142,456.0,1.3872,1200,1410,-6.88,-1.23,-5.73,489.71,1.6197,1200,461.67,1.4142,456.0,1.3872,1200,1410,-6.88,-1.23,-5.73
2048,8192,16,64,0.5373,444.11,2.0552,900,402.24,1.7558,400.73,1.7211,900,1200,-9.77,-0.38,-9.43,491.75,1.5949,1200,445.65,1.3368,446.72,1.3251,1200,1410,-9.16,0.24,-9.37,491.75,1.5949,1200,445.65,1.3368,446.72,1.3251,1200,1410,-9.16,0.24,-9.37
2048,8192,32,64,0.4674,440.47,2.0634,900,407.39,1.8818,406.71,1.8186,900,1200,-7.66,-0.17,-7.51,486.34,1.6019,1200,450.09,1.4342,450.09,1.4342,1200,1200,-7.45,0.0,-7.45,486.34,1.6019,1200,450.09,1.4342,450.09,1.4342,1200,1200,-7.45,0.0,-7.45
2048,16384,1,64,1.4842,1799.58,9.7633,900,1796.95,9.0752,1515.45,6.1145,900,1410,-15.79,-15.67,-0.15,1959.25,7.6334,1200,1932.77,6.9937,1806.2,6.0355,1200,1410,-7.81,-6.55,-1.35,1959.25,7.6334,1200,1932.77,6.9937,1515.45,6.1145,900,1410,-22.65,-21.59,-1.35
2048,16384,2,64,0.7456,1541.7,6.3133,900,1505.71,6.1145,1461.05,6.1145,900,1410,-5.23,-2.97,-2.33,1694.87,4.7926,1200,1676.41,4.6005,1650.94,4.6005,1200,1410,-2.59,-1.52,-1.09,1694.87,4.7926,1200,1676.41,4.6005,1650.94,4.6005,1200,1410,-2.59,-1.52,-1.09
2048,16384,4,64,0.3891,1532.33,6.3087,900,1456.68,6.1145,1439.51,6.1145,900,1410,-6.06,-1.18,-4.94,1721.95,4.7699,1200,1640.03,4.6005,1628.02,4.6005,1200,1410,-5.45,-0.73,-4.76,1721.95,4.7699,1200,1640.03,4.6005,1628.02,4.6005,1200,1410,-5.45,-0.73,-4.76
2048,16384,8,64,0.2165,1532.72,6.3121,900,1440.45,6.2468,1438.84,6.2211,900,1200,-6.12,-0.11,-6.02,1721.54,4.8076,1200,1627.17,4.7071,1626.29,4.6936,1200,1410,-5.53,-0.05,-5.48,1721.54,4.8076,1200,1627.17,4.7071,1626.29,4.6936,1200,1410,-5.53,-0.05,-5.48
2048,16384,16,64,0.1393,1538.37,6.4475,900,1429.8,6.2848,1429.8,6.2848,900,900,-7.06,0.0,-7.06,1538.37,6.4475,900,1429.8,6.2848,1616.62,4.7709,1200,900,5.09,13.07,-7.06,1538.37,6.4475,900,1429.8,6.2848,1616.62,4.7709,1200,900,5.09,13.07,-7.06
2048,16384,32,64,0.1212,1511.97,6.8248,900,1434.96,6.4109,1434.96,6.4109,900,900,-5.09,0.0,-5.09,1511.97,6.8248,900,1434.96,6.4109,1616.64,4.8969,1200,900,6.92,12.66,-5.09,1511.97,6.8248,900,1434.96,6.4109,1616.64,4.8969,1200,900,6.92,12.66,-5.09
