coefficient,clock_mhz,index,index_kind,value,unit,note,source
kappa,1410,,,0.00316702,W per SM per MHz,"a/f = C*V^2, the voltage curve; flat below ~1020 MHz",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
P_static,1410,,,85.372,W,"board floor, counted over the whole iteration",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,1410,32,N*K footprint MiB,3.172,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,1410,128,N*K footprint MiB,14.933,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,1410,512,N*K footprint MiB,19.382,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
tau,1410,,,2.3591549e-05,ms per wave per unit K,t_gemm = W*(K/splitK)*tau + t0. EXTRAPOLATED: 33 of 36 rows throttled at 1410,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
t0,1410,,,0.02893741,ms,fixed per-launch cost. EXTRAPOLATED: 33 of 36 rows throttled at 1410,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
p0,1410,,,24.95,W,P_comm = p0 + gamma*B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
gamma,1410,,,0.31922,W per GB/s,P_comm = p0 + gamma*B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,1410,1,NCCL CTAs,11.1476,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,1410,1,NCCL CTAs,35.486,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,1410,2,NCCL CTAs,22.3694,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,1410,2,NCCL CTAs,39.84,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,1410,4,NCCL CTAs,42.6009,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,1410,4,NCCL CTAs,34.449,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,1410,8,NCCL CTAs,77.6948,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,1410,8,NCCL CTAs,46.023,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,1410,16,NCCL CTAs,128.868,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,1410,16,NCCL CTAs,64.395,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,1410,32,NCCL CTAs,144.7224,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,1410,32,NCCL CTAs,53.947,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
eta_k,,,,0.118,dimensionless,"eta(S) = 1 + eta_k*(1 - S/108). Corrects the GEMM running slower than perfect wave scaling at low occupancy; fitted out of sample on the 14/27/54/81 SM rows, cuts latency error 6.62% -> 1.75%",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
power_cap,,,,400.0,W,"A100-SXM4-40GB board limit, applied to the ITERATION MEAN",nvidia-smi
