ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
16,705,0,0,0,comm_only,0,0,0,512,7.17036,364,705,True,436.4,109.1,100,4
16,705,1024,4096,4096,serial,128,2,64.0,512,7.60958,343,705,True,446.1,111.53,100,4
16,705,1024,4096,4096,concurrent,128,2,64.0,512,7.27904,366,705,True,450.7,112.67,103,4
16,705,2048,4096,4096,serial,256,3,85.33,512,7.89763,330,705,True,456.0,114.01,100,4
16,705,2048,4096,4096,concurrent,256,3,85.33,512,7.3347,360,705,True,466.3,116.56,102,4
16,705,4096,4096,4096,serial,512,5,102.4,512,8.30449,313,705,True,480.0,120.01,99,4
16,705,4096,4096,4096,concurrent,512,5,102.4,512,7.34813,358,705,True,499.4,124.84,101,4
16,705,1024,8192,8192,serial,512,5,102.4,512,8.34618,312,705,True,479.1,119.78,100,4
16,705,1024,8192,8192,concurrent,512,5,102.4,512,7.36418,359,705,True,500.4,125.1,102,4
16,705,2048,8192,8192,serial,512,5,102.4,512,9.27878,280,705,True,509.7,127.44,100,4
16,705,2048,8192,8192,concurrent,512,5,102.4,512,7.3821,337,705,True,561.5,140.36,94,4
16,705,8192,8192,8192,serial,2048,19,107.79,512,14.82283,176,705,True,630.0,157.51,100,4
16,705,8192,8192,8192,concurrent,2048,19,107.79,512,10.02021,273,705,True,804.7,201.18,106,4
16,510,0,0,0,comm_only,0,0,0,512,8.71385,297,510,True,413.8,103.45,99,4
16,510,1024,4096,4096,serial,128,2,64.0,512,9.29784,280,510,True,421.0,105.25,100,4
16,510,1024,4096,4096,concurrent,128,2,64.0,512,8.77737,299,510,True,425.6,106.41,101,4
16,510,2048,4096,4096,serial,256,3,85.33,512,9.58894,271,510,True,430.3,107.56,99,4
16,510,2048,4096,4096,concurrent,256,3,85.33,512,8.79198,299,510,True,439.9,109.97,101,4
16,510,4096,4096,4096,serial,512,5,102.4,512,10.15955,257,510,True,447.4,111.84,100,4
16,510,4096,4096,4096,concurrent,512,5,102.4,512,8.82555,298,510,True,466.3,116.58,101,4
16,510,1024,8192,8192,serial,512,5,102.4,512,10.19469,256,510,True,449.3,112.32,100,4
16,510,1024,8192,8192,concurrent,512,5,102.4,512,8.83899,298,510,True,467.2,116.79,101,4
16,510,2048,8192,8192,serial,512,5,102.4,512,11.49821,227,510,True,474.0,118.5,100,4
16,510,2048,8192,8192,concurrent,512,5,102.4,512,8.86669,283,510,True,523.0,130.75,95,4
16,510,8192,8192,8192,serial,2048,19,107.79,512,19.18991,135,510,True,567.0,141.76,99,4
16,510,8192,8192,8192,concurrent,2048,19,107.79,512,13.25766,207,510,True,681.6,170.4,107,4
16,300,0,0,0,comm_only,0,0,0,512,12.90514,202,300,True,384.8,96.21,100,4
16,300,1024,4096,4096,serial,128,2,64.0,512,13.8706,187,300,True,388.9,97.23,99,4
16,300,1024,4096,4096,concurrent,128,2,64.0,512,12.97714,201,300,True,392.6,98.15,100,4
16,300,2048,4096,4096,serial,256,3,85.33,512,14.38261,181,300,True,396.6,99.15,100,4
16,300,2048,4096,4096,concurrent,256,3,85.33,512,13.01471,201,300,True,401.9,100.48,100,4
16,300,4096,4096,4096,serial,512,5,102.4,512,15.31229,170,300,True,403.6,100.89,100,4
16,300,4096,4096,4096,concurrent,512,5,102.4,512,13.03689,199,300,True,421.2,105.29,99,4
16,300,1024,8192,8192,serial,512,5,102.4,512,15.35536,169,300,True,403.6,100.91,99,4
16,300,1024,8192,8192,concurrent,512,5,102.4,512,13.07315,200,300,True,422.3,105.58,100,4
16,300,2048,8192,8192,serial,512,5,102.4,512,17.59017,148,300,True,420.8,105.21,100,4
16,300,2048,8192,8192,concurrent,512,5,102.4,512,13.09948,199,300,True,459.7,114.92,100,4
16,300,8192,8192,8192,serial,2048,19,107.79,512,30.51058,85,300,True,451.9,112.97,99,4
16,300,8192,8192,8192,concurrent,2048,19,107.79,512,22.30493,126,300,True,525.1,131.27,110,4
