clock,clock_achieved,throttled,m,nk,ar_mib,ctas,t_gemm_ms,t_comm_ms,iter_ms_model,iter_ms_meas,meas_w,model_w,err_pct,pred_w_throttled,err_throttled_pct,speedup,dE_pct
510,510,False,8192,8192,64,1,10.219,15.242,15.242,15.941,142.3,150.2,5.6,,,1.591,21.5
510,510,False,1024,16384,64,1,5.411,15.242,15.242,15.569,111.9,117.4,4.9,,,1.317,16.7
510,510,False,2048,16384,64,1,10.754,15.242,15.242,15.9,144.7,151.7,4.9,,,1.62,21.5
510,510,False,4096,16384,64,1,20.37,15.242,21.172,21.65,170.7,174.3,2.1,,,1.635,18.8
510,510,False,8192,16384,64,1,40.67,15.242,41.071,41.974,164.3,168.4,2.5,,,1.327,13.1
300,300,False,1024,4096,64,1,1.019,25.11,25.11,25.047,79.3,83.1,4.7,,,1.035,3.7
300,300,False,2048,4096,64,1,1.473,25.11,25.11,25.07,80.9,84.4,4.4,,,1.053,4.3
300,300,False,4096,4096,64,1,2.381,25.11,25.11,25.092,84.5,87.0,2.9,,,1.09,5.4
300,300,False,8192,4096,64,1,4.65,25.11,25.11,25.154,89.8,92.2,2.7,,,1.18,10.9
300,300,False,1024,8192,64,1,2.381,25.11,25.11,25.094,82.2,87.2,6.0,,,1.092,7.9
300,300,False,2048,8192,64,1,4.65,25.11,25.11,25.142,89.8,92.6,3.1,,,1.176,9.6
300,300,False,4096,8192,64,1,9.19,25.11,25.11,25.248,96.5,103.3,7.1,,,1.351,20.5
300,300,False,8192,8192,64,1,17.362,25.11,25.11,25.478,117.0,124.6,6.5,,,1.665,25.4
300,300,False,1024,16384,64,1,9.19,25.11,25.11,25.232,98.6,103.7,5.2,,,1.348,16.2
300,300,False,2048,16384,64,1,18.27,25.11,25.11,25.416,120.7,125.6,4.1,,,1.695,25.5
300,300,False,4096,16384,64,1,34.614,25.11,35.935,36.575,131.3,135.0,2.8,,,1.626,22.8
300,300,False,8192,16384,64,1,69.117,25.11,69.777,71.097,122.6,128.1,4.5,,,1.322,17.1
1410,1410,False,1024,4096,64,2,0.222,3.04,3.04,3.164,130.0,138.6,6.6,,,1.033,1.4
1410,1410,False,2048,4096,64,2,0.319,3.04,3.04,3.191,147.7,157.8,6.8,,,1.057,3.1
1410,1410,False,4096,4096,64,2,0.512,3.04,3.04,3.212,177.4,195.0,9.9,,,1.111,8.0
1410,1410,False,8192,4096,64,2,0.995,3.04,3.04,3.295,249.6,268.2,7.5,,,1.24,8.6
1410,1410,False,1024,8192,64,2,0.512,3.04,3.04,3.218,184.1,197.0,7.0,,,1.115,7.3
1410,1410,False,2048,8192,64,2,0.995,3.04,3.04,3.283,249.5,272.1,9.0,,,1.237,8.9
1410,1410,False,4096,8192,64,2,1.962,3.04,3.04,3.443,379.8,422.2,11.2,,,1.467,9.8
1410,1215,True,8192,8192,64,2,3.701,3.04,3.861,4.66,399.6,586.3,46.7,393.8,-1.4,1.468,27.6
1410,1410,False,1024,16384,64,2,1.962,3.04,3.04,3.435,388.5,425.0,9.4,,,1.463,9.9
1410,1215,True,2048,16384,64,2,3.894,3.04,3.894,4.626,399.0,587.1,47.1,396.1,-0.7,1.508,29.4
1410,1200,True,4096,16384,64,2,7.373,3.04,7.533,9.064,398.9,588.4,47.5,378.6,-5.1,1.233,18.7
1410,1185,True,8192,16384,64,2,14.717,3.04,14.797,17.688,397.3,590.0,48.5,370.8,-6.7,1.119,9.7
1200,1200,False,1024,4096,64,2,0.26,3.513,3.513,3.639,109.7,112.0,2.1,,,1.037,3.5
1200,1200,False,2048,4096,64,2,0.373,3.513,3.513,3.673,119.1,123.7,3.9,,,1.063,4.7
1200,1200,False,4096,4096,64,2,0.601,3.513,3.513,3.689,139.9,146.4,4.6,,,1.122,7.2
1200,1200,False,8192,4096,64,2,1.169,3.513,3.513,3.781,180.2,191.0,6.0,,,1.25,10.7
1200,1200,False,1024,8192,64,2,0.601,3.513,3.513,3.697,140.8,147.8,5.0,,,1.126,7.6
1200,1200,False,2048,8192,64,2,1.169,3.513,3.513,3.765,178.3,193.8,8.7,,,1.248,11.0
1200,1200,False,4096,8192,64,2,2.305,3.513,3.513,3.939,253.1,285.6,12.8,,,1.497,15.2
1200,1200,False,8192,8192,64,2,4.349,3.513,4.534,4.854,353.7,379.0,7.1,,,1.638,12.0
1200,1200,False,1024,16384,64,2,2.305,3.513,3.513,3.923,255.3,288.9,13.1,,,1.493,15.5
1200,1200,False,2048,16384,64,2,4.577,3.513,4.577,4.793,353.6,381.4,7.9,,,1.692,14.3
1200,1200,False,4096,16384,64,2,8.666,3.513,8.851,9.342,361.4,378.6,4.8,,,1.313,6.8
1200,1200,False,8192,16384,64,2,17.299,3.513,17.392,17.995,373.5,377.6,1.1,,,1.164,2.2
900,900,False,1024,4096,64,2,0.344,4.576,4.576,4.678,95.6,96.4,0.9,,,1.047,3.7
900,900,False,2048,4096,64,2,0.496,4.576,4.576,4.717,101.3,103.3,2.0,,,1.074,6.0
900,900,False,4096,4096,64,2,0.799,4.576,4.576,4.741,115.0,116.8,1.6,,,1.135,8.6
900,900,False,8192,4096,64,2,1.556,4.576,4.576,4.845,140.5,143.3,2.0,,,1.273,13.3
900,900,False,1024,8192,64,2,0.799,4.576,4.576,4.748,115.6,117.9,1.9,,,1.139,8.8
900,900,False,2048,8192,64,2,1.556,4.576,4.576,4.819,139.6,145.4,4.2,,,1.272,13.7
900,900,False,4096,8192,64,2,3.07,4.576,4.576,5.001,187.8,200.6,6.8,,,1.532,17.1
900,900,False,8192,8192,64,2,5.795,4.576,6.036,6.377,244.0,250.1,2.5,,,1.647,17.3
900,900,False,1024,16384,64,2,3.07,4.576,4.576,4.997,188.7,202.1,7.1,,,1.526,17.0
900,900,False,2048,16384,64,2,6.098,4.576,6.098,6.313,244.2,250.8,2.7,,,1.702,18.2
900,900,False,4096,16384,64,2,11.548,4.576,11.789,12.368,244.4,245.5,0.4,,,1.304,6.7
900,900,False,8192,16384,64,2,23.055,4.576,23.175,23.889,242.7,243.0,0.1,,,1.157,4.1
705,705,False,1024,4096,64,2,0.439,5.734,5.734,5.845,90.0,91.9,2.1,,,1.052,5.0
705,705,False,2048,4096,64,2,0.632,5.734,5.734,5.902,95.1,97.4,2.4,,,1.079,6.0
705,705,False,4096,4096,64,2,1.019,5.734,5.734,5.928,105.6,108.2,2.4,,,1.143,9.1
705,705,False,8192,4096,64,2,1.985,5.734,5.734,6.04,125.5,129.6,3.2,,,1.288,15.2
705,705,False,1024,8192,64,2,1.019,5.734,5.734,5.944,105.7,109.1,3.2,,,1.145,9.7
705,705,False,2048,8192,64,2,1.985,5.734,5.734,6.017,124.5,131.2,5.4,,,1.287,16.6
705,705,False,4096,8192,64,2,3.917,5.734,5.734,6.22,163.6,175.5,7.3,,,1.564,21.6
705,705,False,8192,8192,64,2,7.396,5.734,7.698,8.084,206.6,211.5,2.3,,,1.636,17.8
705,705,False,1024,16384,64,2,3.917,5.734,5.734,6.189,164.3,177.1,7.8,,,1.561,20.8
705,705,False,2048,16384,64,2,7.783,5.734,7.783,8.0,206.5,212.5,2.9,,,1.686,19.3
705,705,False,4096,16384,64,2,14.74,5.734,15.042,15.73,204.7,206.8,1.0,,,1.301,8.7
705,705,False,8192,16384,64,2,29.427,5.734,29.578,30.435,201.6,204.0,1.2,,,1.155,5.8
510,510,False,1024,4096,64,2,0.603,7.659,7.659,7.713,85.8,88.4,3.0,,,1.061,5.3
510,510,False,2048,4096,64,2,0.87,7.659,7.659,7.757,89.8,92.6,3.1,,,1.091,7.1
510,510,False,4096,4096,64,2,1.405,7.659,7.659,7.789,97.4,100.7,3.4,,,1.16,11.1
510,510,False,8192,4096,64,2,2.74,7.659,7.659,7.909,113.5,116.8,2.9,,,1.319,17.1
510,510,False,1024,8192,64,2,1.405,7.659,7.659,7.802,97.7,101.3,3.7,,,1.163,11.1
510,510,False,2048,8192,64,2,2.74,7.659,7.659,7.887,113.2,118.1,4.3,,,1.315,17.3
510,510,False,4096,8192,64,2,5.411,7.659,7.659,8.079,142.0,151.6,6.8,,,1.615,24.1
510,510,False,8192,8192,64,2,10.219,7.659,10.622,11.09,170.3,173.3,1.7,,,1.616,17.9
510,510,False,1024,16384,64,2,5.411,7.659,7.659,8.052,144.9,152.8,5.4,,,1.612,22.9
510,510,False,2048,16384,64,2,10.754,7.659,10.754,10.954,170.8,174.0,1.9,,,1.671,21.1
510,510,False,4096,16384,64,2,20.37,7.659,20.773,21.642,164.8,167.7,1.8,,,1.291,9.7
510,510,False,8192,16384,64,2,40.67,7.659,40.872,41.968,161.2,164.4,2.0,,,1.15,7.1
300,300,False,1024,4096,64,2,1.019,12.626,12.626,12.627,82.1,85.1,3.7,,,1.07,5.9
300,300,False,2048,4096,64,2,1.473,12.626,12.626,12.65,84.3,87.7,4.1,,,1.105,8.2
300,300,False,4096,4096,64,2,2.381,12.626,12.626,12.683,89.4,92.9,3.9,,,1.178,12.1
300,300,False,8192,4096,64,2,4.65,12.626,12.626,12.765,98.9,103.2,4.4,,,1.353,20.5
300,300,False,1024,8192,64,2,2.381,12.626,12.626,12.697,88.9,93.3,4.9,,,1.181,12.9
300,300,False,2048,8192,64,2,4.65,12.626,12.626,12.736,98.5,104.0,5.6,,,1.348,19.6
300,300,False,4096,8192,64,2,9.19,12.626,12.626,12.864,117.8,125.3,6.4,,,1.691,29.1
300,300,False,8192,8192,64,2,17.362,12.626,18.027,18.664,131.1,134.3,2.4,,,1.611,21.7
300,300,False,1024,16384,64,2,9.19,12.626,12.626,12.844,118.4,126.1,6.5,,,1.685,29.3
300,300,False,2048,16384,64,2,18.27,12.626,18.27,18.459,131.6,134.7,2.4,,,1.665,23.6
300,300,False,4096,16384,64,2,34.614,12.626,35.278,36.611,124.0,127.7,2.9,,,1.287,13.6
300,300,False,8192,16384,64,2,69.117,12.626,69.449,71.13,118.8,124.1,4.4,,,1.148,9.7
1410,1410,False,1024,4096,64,4,0.222,1.61,1.61,1.738,153.0,163.8,7.1,,,1.064,3.4
1410,1410,False,2048,4096,64,4,0.319,1.61,1.61,1.758,182.6,200.0,9.5,,,1.112,6.4
1410,1410,False,4096,4096,64,4,0.512,1.61,1.61,1.78,248.9,270.4,8.6,,,1.21,7.3
1410,1410,False,8192,4096,64,4,0.995,1.61,1.61,1.87,371.0,408.6,10.1,,,1.421,9.1
1410,1410,False,1024,8192,64,4,0.512,1.61,1.61,1.786,255.5,274.1,7.3,,,1.218,7.8
1410,1410,False,2048,8192,64,4,0.995,1.61,1.61,1.864,371.3,415.9,12.0,,,1.42,8.8
1410,1260,True,4096,8192,64,4,1.962,1.61,1.962,2.587,398.3,589.2,47.9,440.4,10.6,1.408,23.0
1410,1215,True,8192,8192,64,4,3.701,1.61,3.786,4.717,399.5,586.9,46.9,390.9,-2.2,1.206,16.5
1410,1275,True,1024,16384,64,4,1.962,1.61,1.962,2.714,399.1,593.7,48.8,460.1,15.3,1.336,21.0
1410,1230,True,2048,16384,64,4,3.894,1.61,3.894,4.66,397.6,578.0,45.4,401.8,1.1,1.245,20.0
1410,1200,True,4096,16384,64,4,7.373,1.61,7.458,9.134,399.0,588.7,47.6,377.1,-5.5,1.09,8.9
1410,1185,True,8192,16384,64,4,14.717,1.61,14.802,17.885,397.9,587.4,47.6,368.4,-7.4,1.036,4.6
1200,1200,False,1024,4096,64,4,0.26,1.852,1.852,1.977,126.4,128.1,1.3,,,1.073,5.4
1200,1200,False,2048,4096,64,4,0.373,1.852,1.852,2.0,143.9,150.2,4.4,,,1.122,7.7
1200,1200,False,4096,4096,64,4,0.601,1.852,1.852,2.013,183.7,193.3,5.2,,,1.233,9.8
1200,1200,False,8192,4096,64,4,1.169,1.852,1.852,2.115,255.0,277.9,9.0,,,1.453,13.6
1200,1200,False,1024,8192,64,4,0.601,1.852,1.852,2.024,185.8,196.0,5.5,,,1.238,9.8
1200,1200,False,2048,8192,64,4,1.169,1.852,1.852,2.103,251.8,283.1,12.5,,,1.448,14.0
1200,1200,False,4096,8192,64,4,2.305,1.852,2.305,2.75,328.9,381.2,15.9,,,1.54,12.3
1200,1200,False,8192,8192,64,4,4.349,1.852,4.447,4.837,357.0,375.9,5.3,,,1.31,6.8
1200,1200,False,1024,16384,64,4,2.305,1.852,2.305,2.937,316.6,386.2,22.0,,,1.429,9.2
1200,1200,False,2048,16384,64,4,4.577,1.852,4.577,4.77,361.0,372.5,3.2,,,1.356,7.8
1200,1200,False,4096,16384,64,4,8.666,1.852,8.763,9.315,365.7,377.1,3.1,,,1.146,1.9
1200,1200,False,8192,16384,64,4,17.299,1.852,17.397,17.96,378.2,375.2,-0.8,,,1.074,0.6
900,900,False,1024,4096,64,4,0.344,2.384,2.384,2.504,106.8,106.6,-0.2,,,1.084,6.4
900,900,False,2048,4096,64,4,0.496,2.384,2.384,2.511,118.7,119.9,1.0,,,1.146,9.1
900,900,False,4096,4096,64,4,0.799,2.384,2.384,2.556,143.2,145.7,1.7,,,1.251,12.0
900,900,False,8192,4096,64,4,1.556,2.384,2.384,2.659,188.3,196.6,4.4,,,1.499,17.6
900,900,False,1024,8192,64,4,0.799,2.384,2.384,2.569,143.5,147.8,3.0,,,1.252,12.3
900,900,False,2048,8192,64,4,1.556,2.384,2.384,2.647,187.2,200.7,7.2,,,1.493,16.7
900,900,False,4096,8192,64,4,3.07,2.384,3.07,3.604,228.4,251.8,10.3,,,1.525,14.7
900,900,False,8192,8192,64,4,5.795,2.384,5.92,6.387,243.1,244.9,0.7,,,1.294,6.8
900,900,False,1024,16384,64,4,3.07,2.384,3.07,3.867,220.1,254.0,15.4,,,1.412,11.9
900,900,False,2048,16384,64,4,6.098,2.384,6.098,6.309,242.9,242.2,-0.3,,,1.344,8.6
900,900,False,4096,16384,64,4,11.548,2.384,11.674,12.344,245.2,242.8,-1.0,,,1.134,3.3
900,900,False,8192,16384,64,4,23.055,2.384,23.181,23.87,243.9,240.6,-1.3,,,1.069,1.6
705,705,False,1024,4096,64,4,0.439,2.964,2.964,3.083,99.0,100.2,1.2,,,1.097,7.5
705,705,False,2048,4096,64,4,0.632,2.964,2.964,3.109,108.8,110.9,1.9,,,1.153,9.5
705,705,False,4096,4096,64,4,1.019,2.964,2.964,3.14,129.0,131.8,2.1,,,1.274,13.9
705,705,False,8192,4096,64,4,1.985,2.964,2.964,3.252,166.5,173.1,3.9,,,1.534,19.4
705,705,False,1024,8192,64,4,1.019,2.964,2.964,3.145,129.6,133.4,2.9,,,1.278,13.8
705,705,False,2048,8192,64,4,1.985,2.964,2.964,3.236,165.5,176.2,6.5,,,1.527,18.7
705,705,False,4096,8192,64,4,3.917,2.964,3.917,4.479,197.2,212.6,7.8,,,1.541,17.1
