ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
4,0,1024,4096,4096,concurrent,128,2,64.0,128,3.34538,653,1410,True,559.8,139.94,78,4
4,0,2048,4096,4096,concurrent,256,3,85.33,128,3.31737,810,1410,True,638.4,159.61,104,4
4,0,4096,4096,4096,concurrent,512,5,102.4,128,3.33471,797,1410,True,771.8,192.95,102,4
4,0,1024,8192,8192,concurrent,512,5,102.4,128,3.34393,785,1410,True,781.6,195.4,101,4
4,0,2048,8192,8192,concurrent,512,5,102.4,128,3.4125,721,1410,True,1043.8,260.95,93,4
4,0,8192,8192,8192,concurrent,2048,19,107.79,128,4.8321,601,1170,True,1604.9,401.24,114,4
8,0,1024,4096,4096,concurrent,128,2,64.0,128,1.9039,1172,1410,True,685.6,171.41,80,4
8,0,2048,4096,4096,concurrent,256,3,85.33,128,1.88056,1426,1410,True,806.6,201.66,103,4
8,0,4096,4096,4096,concurrent,512,5,102.4,128,1.90394,1293,1410,True,1055.2,263.79,92,4
8,0,1024,8192,8192,concurrent,512,5,102.4,128,1.91173,1287,1410,True,1068.9,267.23,92,4
8,0,2048,8192,8192,concurrent,512,5,102.4,128,1.94333,1220,1410,True,1540.5,385.12,88,4
8,0,8192,8192,8192,concurrent,2048,19,107.79,128,4.87539,607,1215,True,1591.1,397.78,117,4
16,0,1024,4096,4096,concurrent,128,2,64.0,128,1.19974,1831,1410,True,835.3,208.82,79,4
16,0,2048,4096,4096,concurrent,256,3,85.33,128,1.19362,2135,1410,True,1033.8,258.45,97,4
16,0,4096,4096,4096,concurrent,512,5,102.4,128,1.21121,2083,1410,True,1446.8,361.7,95,4
16,0,1024,8192,8192,concurrent,512,5,102.4,128,1.22128,2020,1410,True,1457.0,364.26,93,4
16,0,2048,8192,8192,concurrent,512,5,102.4,128,1.63216,1787,1290,True,1589.1,397.29,115,4
16,0,8192,8192,8192,concurrent,2048,19,107.79,128,4.88098,587,1230,True,1594.5,398.62,112,4
32,0,1024,4096,4096,concurrent,128,2,64.0,128,1.096,2089,1410,True,890.6,222.66,83,4
32,0,2048,4096,4096,concurrent,256,3,85.33,128,1.08912,2333,1410,True,1115.0,278.76,96,4
32,0,4096,4096,4096,concurrent,512,5,102.4,128,1.24315,2236,1410,True,1447.2,361.8,108,4
32,0,1024,8192,8192,concurrent,512,5,102.4,128,1.25625,2415,1410,True,1448.0,362.0,121,4
32,0,2048,8192,8192,concurrent,512,5,102.4,128,1.83271,1568,1350,True,1584.7,396.17,113,4
32,0,8192,8192,8192,concurrent,2048,19,107.79,128,5.05075,569,1230,True,1593.1,398.28,113,4
