ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
2,0,1024,4096,4096,concurrent,128,2,64.0,64,3.22885,673,1410,True,565.2,141.3,78,4
2,0,1024,8192,8192,concurrent,512,5,102.4,64,3.21387,829,1410,True,781.8,195.44,102,4
2,0,2048,4096,4096,concurrent,256,3,85.33,64,3.18501,851,1410,True,637.9,159.47,105,4
2,0,2048,8192,8192,concurrent,512,5,102.4,64,3.27805,819,1410,True,1057.8,264.44,104,4
2,0,4096,4096,4096,concurrent,512,5,102.4,64,3.21161,837,1410,True,788.0,196.99,104,4
2,0,8192,8192,8192,concurrent,2048,19,107.79,64,4.69676,613,1155,True,1604.6,401.16,113,4
4,0,1024,4096,4096,concurrent,128,2,64.0,64,1.75046,1253,1410,True,656.4,164.1,79,4
4,0,1024,8192,8192,concurrent,512,5,102.4,64,1.77772,1432,1410,True,1075.3,268.83,97,4
4,0,2048,4096,4096,concurrent,256,3,85.33,64,1.74544,1585,1410,True,798.0,199.51,107,4
4,0,2048,8192,8192,concurrent,512,5,102.4,64,1.85125,1334,1380,True,1543.5,385.86,93,4
4,0,4096,4096,4096,concurrent,512,5,102.4,64,1.77141,1396,1410,True,1089.9,272.48,93,4
4,0,8192,8192,8192,concurrent,2048,19,107.79,64,4.7135,621,1170,True,1596.2,399.05,115,4
8,0,1024,4096,4096,concurrent,128,2,64.0,64,1.02528,2020,1410,True,810.9,202.72,73,4
8,0,1024,8192,8192,concurrent,512,5,102.4,64,1.03674,2278,1395,True,1522.9,380.73,88,4
8,0,2048,4096,4096,concurrent,256,3,85.33,64,1.00278,2511,1410,True,1064.3,266.06,95,4
8,0,2048,8192,8192,concurrent,512,5,102.4,64,1.45703,1884,1275,True,1601.1,400.26,107,4
8,0,4096,4096,4096,concurrent,512,5,102.4,64,1.03142,2167,1380,True,1536.7,384.18,81,4
8,0,8192,8192,8192,concurrent,2048,19,107.79,64,4.72911,610,1215,True,1592.5,398.11,113,4
12,0,1024,4096,4096,concurrent,128,2,64.0,64,0.79915,2730,1410,True,906.4,226.59,78,4
12,0,1024,8192,8192,concurrent,512,5,102.4,64,0.92926,2803,1350,True,1582.0,395.5,100,4
12,0,2048,4096,4096,concurrent,256,3,85.33,64,0.80079,3215,1410,True,1231.4,307.84,98,4
12,0,2048,8192,8192,concurrent,512,5,102.4,64,1.47903,1969,1260,True,1602.1,400.54,115,4
12,0,4096,4096,4096,concurrent,512,5,102.4,64,0.92663,2764,1365,True,1589.7,397.41,97,4
12,0,8192,8192,8192,concurrent,2048,19,107.79,64,4.74257,598,1200,True,1592.5,398.11,111,4
16,0,1024,4096,4096,concurrent,128,2,64.0,64,0.70269,3136,1410,True,964.6,241.15,79,4
16,0,1024,8192,8192,concurrent,512,5,102.4,64,0.92901,3142,1350,True,1595.5,398.87,115,4
16,0,2048,4096,4096,concurrent,256,3,85.33,64,0.70726,3468,1410,True,1341.3,335.32,92,4
16,0,2048,8192,8192,concurrent,512,5,102.4,64,1.46734,1988,1275,True,1602.8,400.7,115,4
16,0,4096,4096,4096,concurrent,512,5,102.4,64,0.9135,2975,1350,True,1596.7,399.17,105,4
16,0,8192,8192,8192,concurrent,2048,19,107.79,64,4.7647,600,1200,True,1593.7,398.43,112,4
22,0,1024,4096,4096,concurrent,128,2,64.0,64,0.65307,3080,1410,True,1009.6,252.39,70,4
22,0,1024,8192,8192,concurrent,512,5,102.4,64,0.93535,3184,1335,True,1593.8,398.44,118,4
22,0,2048,4096,4096,concurrent,256,3,85.33,64,0.65989,3469,1410,True,1402.7,350.67,84,4
22,0,2048,8192,8192,concurrent,512,5,102.4,64,1.46827,1943,1275,True,1606.0,401.5,112,4
22,0,4096,4096,4096,concurrent,512,5,102.4,64,0.9223,2918,1350,True,1595.6,398.91,104,4
22,0,8192,8192,8192,concurrent,2048,19,107.79,64,4.74735,604,1215,True,1591.4,397.85,113,4
32,0,1024,4096,4096,concurrent,128,2,64.0,64,0.61707,3108,1410,True,1054.0,263.5,65,4
32,0,1024,8192,8192,concurrent,512,5,102.4,64,1.00515,2992,1365,True,1558.3,389.58,119,4
32,0,2048,4096,4096,concurrent,256,3,85.33,64,0.70412,3770,1410,True,1354.0,338.49,102,4
32,0,2048,8192,8192,concurrent,512,5,102.4,64,1.46642,1958,1275,True,1605.8,401.44,113,4
32,0,4096,4096,4096,concurrent,512,5,102.4,64,0.99984,2901,1365,True,1571.3,392.82,114,4
32,0,8192,8192,8192,concurrent,2048,19,107.79,64,4.84753,596,1230,True,1589.5,397.37,114,4
48,0,1024,4096,4096,concurrent,128,2,64.0,64,0.71216,3219,1410,True,992.9,248.23,84,4
48,0,1024,8192,8192,concurrent,512,5,102.4,64,1.10212,2847,1410,True,1483.2,370.8,126,4
48,0,2048,4096,4096,concurrent,256,3,85.33,64,0.81493,3689,1410,True,1205.5,301.36,119,4
48,0,2048,8192,8192,concurrent,512,5,102.4,64,1.61869,1876,1320,True,1588.5,397.13,121,4
