clock,m,n,k,sm,idle_w,latency_ms,energy_mj,iters,clock_held,p_poll,p_energy,clock_min,clock_med,n_samples
1170,8192,16384,16384,108,72.32,17.74339,6314.87,140,True,352.29,355.9,1170,1170,99
1185,1024,4096,4096,108,73.51,0.24988,58.38,10004,True,234.3,233.63,1185,1185,97
1185,4096,8192,8192,108,73.51,2.34492,789.46,1066,True,336.53,336.67,1185,1185,99
1185,8192,16384,16384,108,73.51,17.51835,6391.57,142,True,361.86,364.85,1185,1185,99
1200,1024,4096,4096,108,74.13,0.24747,58.27,10102,True,240.36,235.46,1200,1200,97
1200,4096,8192,8192,108,74.13,2.31744,800.49,1078,True,345.28,345.42,1200,1200,99
1200,8192,16384,16384,108,74.13,17.3001,6330.62,144,True,363.6,365.93,1200,1200,99
1215,1024,4096,4096,108,75.26,0.24269,58.64,10301,True,249.46,241.61,1215,1215,97
1215,4096,8192,8192,108,75.26,2.28866,829.71,1092,True,361.26,362.53,1215,1215,99
1215,8192,16384,16384,108,75.26,17.0849,6664.48,146,True,389.01,390.08,1215,1215,99
1230,1024,4096,4096,108,76.57,0.24178,61.97,10339,True,256.2,256.31,1230,1230,96
1230,4096,8192,8192,108,76.57,2.26242,841.67,1105,True,371.8,372.02,1230,1230,99
1230,8192,16384,16384,108,76.57,16.88032,6767.15,148,True,399.49,400.89,1215,1230,100
1245,1024,4096,4096,108,71.94,0.23772,61.11,10516,True,262.34,257.07,1245,1245,97
1245,4096,8192,8192,108,71.94,2.23235,850.95,1119,True,381.4,381.19,1245,1245,99
1245,8192,16384,16384,108,71.94,16.67854,6679.42,149,False,400.08,400.48,1200,1230,100
