ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
2,0,1024,4096,4096,concurrent,128,2,64.0,256,12.32233,172,1410,True,508.8,127.21,75,4
2,0,1024,8192,8192,concurrent,512,5,102.4,256,12.16008,215,1410,True,566.9,141.72,100,4
2,0,2048,4096,4096,concurrent,256,3,85.33,256,12.13327,216,1410,True,526.0,131.5,101,4
2,0,2048,8192,8192,concurrent,512,5,102.4,256,12.22821,214,1410,True,637.9,159.48,101,4
2,0,4096,4096,4096,concurrent,512,5,102.4,256,12.14557,215,1410,True,563.9,140.98,100,4
2,0,8192,8192,8192,concurrent,2048,19,107.79,256,12.69846,205,1410,True,1061.2,265.29,100,4
4,0,1024,4096,4096,concurrent,128,2,64.0,256,6.49363,330,1410,True,555.2,138.81,77,4
4,0,1024,8192,8192,concurrent,512,5,102.4,256,6.46113,408,1410,True,659.2,164.8,101,4
4,0,2048,4096,4096,concurrent,256,3,85.33,256,6.43289,410,1410,True,596.8,149.21,101,4
4,0,2048,8192,8192,concurrent,512,5,102.4,256,6.52762,405,1410,True,803.9,200.97,102,4
4,0,4096,4096,4096,concurrent,512,5,102.4,256,6.43858,407,1410,True,665.9,166.48,101,4
4,0,8192,8192,8192,concurrent,2048,19,107.79,256,7.00746,349,1365,True,1550.2,387.56,92,4
8,0,1024,4096,4096,concurrent,128,2,64.0,256,3.65298,606,1410,True,644.3,161.09,80,4
8,0,1024,8192,8192,concurrent,512,5,102.4,256,3.62158,728,1410,True,841.9,210.49,101,4
8,0,2048,4096,4096,concurrent,256,3,85.33,256,3.58827,739,1410,True,710.6,177.64,102,4
8,0,2048,8192,8192,concurrent,512,5,102.4,256,3.65223,663,1410,True,1093.1,273.29,91,4
8,0,4096,4096,4096,concurrent,512,5,102.4,256,3.60934,728,1410,True,851.7,212.93,101,4
8,0,8192,8192,8192,concurrent,2048,19,107.79,256,5.07149,566,1200,True,1600.6,400.15,113,4
12,0,1024,4096,4096,concurrent,128,2,64.0,256,2.67012,842,1410,True,718.1,179.53,81,4
12,0,1024,8192,8192,concurrent,512,5,102.4,256,2.67699,991,1410,True,985.1,246.27,102,4
12,0,2048,4096,4096,concurrent,256,3,85.33,256,2.64928,1003,1410,True,814.3,203.57,102,4
12,0,2048,8192,8192,concurrent,512,5,102.4,256,2.69968,892,1410,True,1325.6,331.4,90,4
12,0,4096,4096,4096,concurrent,512,5,102.4,256,2.66664,942,1410,True,1001.3,250.34,95,4
12,0,8192,8192,8192,concurrent,2048,19,107.79,256,5.10401,578,1200,True,1604.6,401.16,117,4
16,0,1024,4096,4096,concurrent,128,2,64.0,256,2.26263,1015,1410,True,769.3,192.33,84,4
16,0,1024,8192,8192,concurrent,512,5,102.4,256,2.27095,1107,1410,True,1085.3,271.32,95,4
16,0,2048,4096,4096,concurrent,256,3,85.33,256,2.2405,1189,1410,True,880.4,220.1,103,4
16,0,2048,8192,8192,concurrent,512,5,102.4,256,2.28526,1076,1410,True,1495.7,373.93,93,4
16,0,4096,4096,4096,concurrent,512,5,102.4,256,2.25857,1100,1410,True,1108.0,277.0,94,4
