pas,block_m,part,sms,clock,clock_med,held,real_rows,padded_rows,tiles,ms,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz_per_sm,e_dyn_mj,replays
0,128,light,54,1200,1200,True,18409,22784,4984,2.77385,174.8,67.8,107.0,1.65123,296.80245,134
0,128,heavy,54,1200,1200,True,43543,47488,10388,5.73621,171.85,67.8,104.05,1.60571,596.85263,65
0,128,light,54,1065,1065,True,18409,22784,4984,3.13101,144.62,63.42,81.2,1.41193,254.23837,119
0,128,heavy,54,1065,1065,True,43543,47488,10388,6.47471,141.35,63.42,77.93,1.35507,504.5745,57
0,128,light,54,1290,1290,True,18409,22784,4984,2.58199,201.22,72.49,128.73,1.84798,332.37915,144
0,128,heavy,54,1290,1290,True,43543,47488,10388,5.33909,197.99,72.49,125.5,1.80161,670.05541,70
0,128,light,54,1035,1035,True,18409,22784,4984,3.20859,142.27,62.83,79.44,1.42136,254.89031,116
0,128,heavy,54,1035,1035,True,43543,47488,10388,6.6424,139.0,62.83,76.17,1.36286,505.95162,56
0,128,light,54,870,870,True,18409,22784,4984,3.80725,128.74,61.62,67.12,1.42869,255.54272,98
0,128,heavy,54,870,870,True,43543,47488,10388,7.88564,125.85,61.62,64.23,1.36718,506.49457,47
0,128,light,54,1110,1110,True,18409,22784,4984,3.00164,153.68,64.3,89.38,1.49116,268.28619,124
0,128,heavy,54,1110,1110,True,43543,47488,10388,6.20832,150.19,64.3,85.89,1.43293,533.23264,60
0,128,light,54,1245,1245,True,18409,22784,4984,2.67415,189.21,70.48,118.73,1.76603,317.50167,139
0,128,heavy,54,1245,1245,True,43543,47488,10388,5.53102,185.93,70.48,115.45,1.71724,638.55638,67
0,128,light,54,1155,1155,True,18409,22784,4984,2.8856,163.4,66.33,97.07,1.55636,280.10554,129
0,128,heavy,54,1155,1155,True,43543,47488,10388,5.96838,159.85,66.33,93.52,1.49944,558.16257,62
0,128,light,54,690,690,True,18409,22784,4984,4.79453,114.12,60.47,53.65,1.43988,257.22631,78
0,128,heavy,54,690,690,True,43543,47488,10388,9.93453,111.17,60.47,50.7,1.36071,503.68051,37
0,128,light,54,780,780,True,18409,22784,4984,4.24557,121.16,61.08,60.08,1.4264,255.07412,88
0,128,heavy,54,780,780,True,43543,47488,10388,8.79473,118.48,61.08,57.4,1.36277,504.81729,42
0,128,light,54,600,600,True,18409,22784,4984,5.49737,106.75,59.88,46.87,1.4466,257.66159,68
0,128,heavy,54,600,600,True,43543,47488,10388,11.39864,104.4,59.88,44.52,1.37407,507.4676,32
0,128,light,54,930,930,True,18409,22784,4984,3.56483,133.44,61.95,71.49,1.42354,254.84953,104
0,128,heavy,54,930,930,True,43543,47488,10388,7.38268,130.81,61.95,68.86,1.37117,508.37136,50
0,128,light,54,990,990,True,18409,22784,4984,3.35242,138.46,62.5,75.96,1.42088,254.65013,111
0,128,heavy,54,990,990,True,43543,47488,10388,6.94189,134.91,62.5,72.41,1.35447,502.66208,53
1,128,light,54,990,990,True,18409,22784,4984,3.35251,138.12,62.5,75.62,1.41452,253.51717,111
1,128,heavy,54,990,990,True,43543,47488,10388,6.94189,135.23,62.5,72.73,1.36046,504.88381,53
1,128,light,54,870,870,True,18409,22784,4984,3.8073,128.74,61.95,66.79,1.42167,254.28962,98
1,128,heavy,54,870,870,True,43543,47488,10388,7.88558,125.85,61.95,63.9,1.36015,503.88883,47
1,128,light,54,690,690,True,18409,22784,4984,4.79451,113.78,60.15,53.63,1.43935,257.12931,78
1,128,heavy,54,690,690,True,43543,47488,10388,9.93459,110.84,60.15,50.69,1.36044,503.58451,37
1,128,light,54,780,780,True,18409,22784,4984,4.24565,120.83,60.75,60.08,1.4264,255.07868,87
1,128,heavy,54,780,780,True,43543,47488,10388,8.79483,118.21,60.75,57.46,1.3642,505.35077,42
1,128,light,54,600,600,True,18409,22784,4984,5.49735,106.75,59.6,47.15,1.45525,259.20003,68
1,128,heavy,54,600,600,True,43543,47488,10388,11.39859,104.12,59.6,44.52,1.37407,507.46544,32
1,128,light,54,1065,1065,True,18409,22784,4984,3.13091,144.62,63.1,81.52,1.41749,255.23205,119
1,128,heavy,54,1065,1065,True,43543,47488,10388,6.46205,142.55,63.1,79.45,1.3815,513.40972,57
1,128,light,54,1155,1155,True,18409,22784,4984,2.88589,162.79,66.26,96.53,1.5477,278.57515,129
1,128,heavy,54,1155,1155,True,43543,47488,10388,5.96856,159.25,66.26,92.99,1.49094,555.01641,62
1,128,light,54,1035,1035,True,18409,22784,4984,3.20853,142.27,62.83,79.44,1.42136,254.88573,116
1,128,heavy,54,1035,1035,True,43543,47488,10388,6.64239,138.73,62.83,75.9,1.35802,504.15712,56
1,128,light,54,1290,1290,True,18409,22784,4984,2.58195,200.94,72.22,128.72,1.84783,332.34891,144
1,128,heavy,54,1290,1290,True,43543,47488,10388,5.33917,197.99,72.22,125.77,1.80548,671.50778,70
1,128,light,54,930,930,True,18409,22784,4984,3.56487,133.76,62.23,71.53,1.42433,254.99508,104
1,128,heavy,54,930,930,True,43543,47488,10388,7.38276,130.54,62.23,68.31,1.36022,504.31642,50
1,128,light,54,1245,1245,True,18409,22784,4984,2.67428,189.21,70.48,118.73,1.76603,317.51735,139
1,128,heavy,54,1245,1245,True,43543,47488,10388,5.53099,185.93,70.48,115.45,1.71724,638.55299,67
1,128,light,54,1200,1200,True,18409,22784,4984,2.77258,176.0,68.67,107.33,1.65633,297.58138,134
1,128,heavy,54,1200,1200,True,43543,47488,10388,5.73636,172.46,68.67,103.79,1.6017,595.37701,65
1,128,light,54,1110,1110,True,18409,22784,4984,3.00151,154.01,64.85,89.16,1.48749,267.61456,124
1,128,heavy,54,1110,1110,True,43543,47488,10388,6.20888,150.46,64.85,85.61,1.42826,531.54186,60
2,128,light,54,1035,1035,True,18409,22784,4984,3.20859,142.55,63.1,79.45,1.42154,254.92247,116
2,128,heavy,54,1035,1035,True,43543,47488,10388,6.64239,139.15,63.1,76.05,1.36071,505.15348,56
2,128,light,54,1065,1065,True,18409,22784,4984,3.13121,144.89,63.7,81.19,1.41175,254.2226,119
2,128,heavy,54,1065,1065,True,43543,47488,10388,6.46228,142.82,63.7,79.12,1.37576,511.29569,57
2,128,light,54,690,690,True,18409,22784,4984,4.79449,114.12,60.47,53.65,1.43988,257.22459,78
2,128,heavy,54,690,690,True,43543,47488,10388,9.93541,111.17,60.47,50.7,1.36071,503.72519,37
2,128,light,54,1200,1200,True,18409,22784,4984,2.77262,175.68,68.12,107.56,1.65988,298.223,134
2,128,heavy,54,1200,1200,True,43543,47488,10388,5.73625,172.32,68.12,104.2,1.60802,597.71765,65
2,128,light,54,990,990,True,18409,22784,4984,3.35251,138.46,62.5,75.96,1.42088,254.65694,111
2,128,heavy,54,990,990,True,43543,47488,10388,6.94198,135.37,62.5,72.87,1.36308,505.86199,53
2,128,light,54,870,870,True,18409,22784,4984,3.80736,129.07,61.62,67.45,1.43572,256.80667,98
2,128,heavy,54,870,870,True,43543,47488,10388,7.88564,125.85,61.62,64.23,1.36718,506.4949,47
2,128,light,54,1110,1110,True,18409,22784,4984,3.00125,153.68,64.57,89.11,1.48665,267.44118,124
2,128,heavy,54,1110,1110,True,43543,47488,10388,6.20855,150.19,64.57,85.62,1.42843,531.57588,60
2,128,light,54,600,600,True,18409,22784,4984,5.49754,106.75,59.88,46.87,1.4466,257.66973,68
2,128,heavy,54,600,600,True,43543,47488,10388,11.39865,104.4,59.88,44.52,1.37407,507.46785,32
2,128,light,54,1155,1155,True,18409,22784,4984,2.88595,163.07,66.05,97.02,1.55556,279.99448,129
2,128,heavy,54,1155,1155,True,43543,47488,10388,5.96896,159.57,66.05,93.52,1.49944,558.21706,62
2,128,light,54,780,780,True,18409,22784,4984,4.24567,121.16,61.08,60.08,1.4264,255.07973,88
2,128,heavy,54,780,780,True,43543,47488,10388,8.79469,118.48,61.08,57.4,1.36277,504.81526,42
2,128,light,54,1290,1290,True,18409,22784,4984,2.58243,200.94,72.49,128.45,1.84396,331.71351,144
2,128,heavy,54,1290,1290,True,43543,47488,10388,5.33916,197.99,72.49,125.5,1.80161,670.0646,70
2,128,light,54,1245,1245,True,18409,22784,4984,2.67432,189.21,70.75,118.46,1.76201,316.79961,139
2,128,heavy,54,1245,1245,True,43543,47488,10388,5.53103,186.26,70.75,115.51,1.71813,638.88927,67
2,128,light,54,930,930,True,18409,22784,4984,3.56499,134.03,62.5,71.53,1.42433,255.00352,104
2,128,heavy,54,930,930,True,43543,47488,10388,7.38273,130.54,62.5,68.04,1.35484,502.32072,50
