model,pas,rep,layer,m_tokens,clock,clock_med,held,locked,ms_per_layer,power_w,idle_w,p_dyn_w,energy_mj_per_layer,e_dyn_mj_per_layer,tflops,kappa_mw_per_mhz_per_sm,replays,reps
qwen,4,0,0,7744,960,960,True,True,4.95795,235.11,63.1,172.01,1165.6635,852.8169,117.92,1.65905,125,4
qwen,4,0,0,7744,1410,1320,False,True,3.72681,404.09,82.49,321.6,1505.9656,1198.5412,156.88,2.25589,177,4
qwen,4,0,0,7744,1095,1095,True,True,4.40207,267.79,65.45,202.34,1178.8298,890.7145,132.81,1.71098,141,4
qwen,4,0,0,7744,930,930,True,True,5.0958,229.1,63.42,165.68,1167.4485,844.2727,114.73,1.64954,122,4
qwen,4,0,0,7744,1335,1320,True,True,3.72862,402.62,76.32,326.3,1501.2171,1216.6488,156.8,2.28886,169,4
qwen,4,0,0,7744,555,555,True,True,8.34197,163.84,61.08,102.76,1366.7482,857.2207,70.09,1.71438,74,4
qwen,4,0,0,7744,780,780,True,True,6.03334,204.05,61.95,142.1,1231.1035,857.338,96.9,1.68685,103,4
qwen,4,0,0,7744,1260,1260,True,True,3.87602,358.15,71.9,286.25,1388.1967,1109.5108,150.84,2.10354,160,4
qwen,4,0,0,7744,690,690,True,True,6.81497,186.73,61.35,125.38,1272.5584,854.4603,85.79,1.6825,91,4
qwen,4,0,0,7744,1380,1320,False,True,3.72212,399.13,79.54,319.59,1485.6082,1189.5511,157.08,2.24179,174,4
qwen,4,0,0,7744,990,990,True,True,4.82059,239.03,63.7,175.33,1152.2657,845.1941,121.28,1.63982,128,4
qwen,4,0,0,7744,870,870,True,True,5.42189,218.51,62.83,155.68,1184.7377,844.0802,107.83,1.65688,115,4
qwen,4,0,0,7744,1185,1185,True,True,4.09295,313.86,68.4,245.46,1284.6135,1004.6556,142.84,1.91796,152,4
qwen,4,0,0,7744,915,915,True,True,5.18682,228.23,62.83,165.4,1183.7891,857.9009,112.72,1.67375,120,4
qwen,4,0,0,7744,825,825,True,True,5.71342,212.68,62.23,150.45,1215.1308,859.5845,102.33,1.68855,109,4
qwen,4,0,0,7744,975,975,True,True,4.88629,237.89,63.1,174.79,1162.3999,854.0749,119.65,1.65992,127,4
qwen,4,0,0,7744,1110,1110,True,True,4.3495,272.82,65.18,207.64,1186.6301,903.1298,134.42,1.73207,143,4
qwen,4,0,0,7744,1275,1275,True,True,3.83604,366.58,72.49,294.09,1406.2173,1128.1425,152.41,2.13573,162,4
qwen,4,0,0,7744,1080,1080,True,True,4.46011,261.63,64.57,197.06,1166.8997,878.9101,131.08,1.68947,139,4
