pas,block_m,part,sms,clock,clock_med,held,real_rows,padded_rows,tiles,ms,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz_per_sm,e_dyn_mj,replays
0,16,heavy,54,1245,1245,True,60131,60880,106540,21.48941,148.71,70.48,78.23,1.16362,1681.11626,17
0,32,light,54,1245,1245,True,1821,2080,1820,0.4725,177.75,70.48,107.27,1.59557,50.68492,500
0,32,heavy,54,1245,1245,True,60131,61824,54096,12.56423,168.09,70.48,97.61,1.45188,1226.39445,29
0,64,light,54,1245,1245,True,1821,2432,1064,0.41136,172.78,70.48,102.3,1.52164,42.08233,500
0,64,heavy,54,1245,1245,True,60131,63552,27804,9.72127,164.81,70.48,94.33,1.40309,917.00708,38
0,128,light,54,1245,1245,True,1821,3200,700,0.40609,173.33,70.48,102.85,1.52982,41.76651,500
0,128,heavy,54,1245,1245,True,60131,67072,14672,7.79493,172.18,70.48,101.7,1.51272,792.74466,48
0,16,light,54,1155,1155,True,1821,1936,3388,0.78833,137.26,66.33,70.93,1.13725,55.91638,471
0,16,heavy,54,1155,1155,True,60131,60880,106540,22.95176,130.07,66.33,63.74,1.02197,1462.94538,16
0,32,light,54,1155,1155,True,1821,2080,1820,0.50087,156.03,66.33,89.7,1.43819,44.92776,500
0,32,heavy,54,1155,1155,True,60131,61824,54096,13.36559,147.51,66.33,81.18,1.30159,1085.01844,28
0,64,light,54,1155,1155,True,1821,2432,1064,0.44123,152.54,66.33,86.21,1.38224,38.03807,500
0,64,heavy,54,1155,1155,True,60131,63552,27804,10.47133,144.02,66.33,77.69,1.24563,813.51726,35
0,128,light,54,1155,1155,True,1821,3200,700,0.43765,151.66,66.33,85.33,1.36813,37.34477,500
0,128,heavy,54,1155,1155,True,60131,67072,14672,8.40955,148.71,66.33,82.38,1.32083,692.77841,44
0,16,light,54,690,690,True,1821,1936,3388,1.22073,103.04,60.47,42.57,1.14251,51.96646,305
0,16,heavy,54,690,690,True,60131,60880,106540,36.30129,97.19,60.47,36.72,0.98551,1332.98341,10
0,32,light,54,690,690,True,1821,2080,1820,0.77586,113.63,60.47,53.16,1.42673,41.24486,480
0,32,heavy,54,690,690,True,60131,61824,54096,21.22959,106.26,60.47,45.79,1.22893,972.10291,17
0,64,light,54,690,690,True,1821,2432,1064,0.7186,109.69,60.47,49.22,1.32099,35.36951,500
0,64,heavy,54,690,690,True,60131,63552,27804,17.39854,102.76,60.47,42.29,1.135,735.78446,21
0,128,light,54,690,690,True,1821,3200,700,0.72494,108.06,60.47,47.59,1.27724,34.49997,500
0,128,heavy,54,690,690,True,60131,67072,14672,14.01165,105.99,60.47,45.52,1.22169,637.81016,26
0,16,light,54,780,780,True,1821,1936,3388,1.08678,108.33,60.75,47.58,1.12963,51.70884,342
0,16,heavy,54,780,780,True,60131,60880,106540,32.20701,101.56,60.75,40.81,0.9689,1314.36817,11
0,32,light,54,780,780,True,1821,2080,1820,0.69131,120.68,60.75,59.93,1.42284,41.43003,500
0,32,heavy,54,780,780,True,60131,61824,54096,18.85372,112.43,60.75,51.68,1.22697,974.36046,19
0,64,light,54,780,780,True,1821,2432,1064,0.63632,116.42,60.75,55.67,1.3217,35.42415,500
0,64,heavy,54,780,780,True,60131,63552,27804,15.39299,108.94,60.75,48.19,1.14411,741.78802,24
0,128,light,54,780,780,True,1821,3200,700,0.64176,114.51,60.75,53.76,1.27635,34.50115,500
0,128,heavy,54,780,780,True,60131,67072,14672,12.39847,113.3,60.75,52.55,1.24763,651.53936,30
0,16,light,54,600,600,True,1821,1936,3388,1.37363,97.46,59.6,37.86,1.16852,52.00559,271
0,16,heavy,54,600,600,True,60131,60880,106540,41.09085,92.17,59.6,32.57,1.00525,1338.32886,9
0,32,light,54,600,600,True,1821,2080,1820,0.87482,107.14,59.6,47.54,1.46728,41.58887,425
0,32,heavy,54,600,600,True,60131,61824,54096,24.0966,100.14,59.6,40.54,1.25123,976.87617,15
0,64,light,54,600,600,True,1821,2432,1064,0.82295,103.64,59.6,44.04,1.35926,36.24281,452
0,64,heavy,54,600,600,True,60131,63552,27804,19.9631,95.11,59.6,35.51,1.09599,708.88952,18
0,128,light,54,600,600,True,1821,3200,700,0.8309,101.28,59.6,41.68,1.28642,34.6321,448
0,128,heavy,54,600,600,True,60131,67072,14672,16.07845,99.54,59.6,39.94,1.23272,642.17335,23
0,16,light,54,930,930,True,1821,1936,3388,0.9311,117.01,61.95,55.06,1.09638,51.26658,399
0,16,heavy,54,930,930,True,60131,60880,106540,27.40603,110.57,61.95,48.62,0.96814,1332.48129,13
0,32,light,54,930,930,True,1821,2080,1820,0.5927,131.09,61.95,69.14,1.37674,40.97911,500
0,32,heavy,54,930,930,True,60131,61824,54096,16.04239,122.43,61.95,60.48,1.2043,970.24378,23
