pas,block_m,part,sms,clock,clock_med,held,real_rows,padded_rows,tiles,ms,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz_per_sm,e_dyn_mj,replays
0,128,light,54,1200,1200,True,35813,41856,9156,5.06292,172.46,67.45,105.01,1.62052,531.65698,74
0,128,heavy,54,1200,1200,True,26139,28416,6216,3.45162,169.23,67.45,101.78,1.57068,351.30583,108
0,128,light,54,1065,1065,True,35813,41856,9156,5.69657,144.02,63.1,80.92,1.40706,460.96622,65
0,128,heavy,54,1065,1065,True,26139,28416,6216,3.88433,140.8,63.1,77.7,1.35107,301.81276,96
0,128,light,54,1290,1290,True,35813,41856,9156,4.70477,200.78,72.22,128.56,1.84554,604.84557,79
0,128,heavy,54,1290,1290,True,26139,28416,6216,3.21259,194.81,72.22,122.59,1.75983,393.83105,116
0,128,light,54,1035,1035,True,35813,41856,9156,5.85113,141.95,62.83,79.12,1.41564,462.94146,63
0,128,heavy,54,1035,1035,True,26139,28416,6216,3.99523,136.98,62.83,74.15,1.32671,296.24617,93
0,128,light,54,870,870,True,35813,41856,9156,6.94669,128.47,61.62,66.85,1.42295,464.3862,53
0,128,heavy,54,870,870,True,26139,28416,6216,4.74385,124.05,61.62,62.43,1.32886,296.15829,78
0,128,light,54,1110,1110,True,35813,41856,9156,5.47235,153.08,64.5,88.58,1.47781,484.74082,68
0,128,heavy,54,1110,1110,True,26139,28416,6216,3.73674,148.12,64.5,83.62,1.39506,312.46608,100
0,128,light,54,1245,1245,True,35813,41856,9156,4.87361,188.88,70.75,118.13,1.7571,575.71981,76
0,128,heavy,54,1245,1245,True,26139,28416,6216,3.32795,183.31,70.75,112.56,1.67425,374.59451,112
0,128,light,54,1155,1155,True,35813,41856,9156,5.25998,162.79,66.33,96.46,1.54658,507.37765,71
0,128,heavy,54,1155,1155,True,26139,28416,6216,3.59183,157.5,66.33,91.17,1.46176,327.46743,104
0,128,light,54,690,690,True,35813,41856,9156,8.7514,113.51,60.47,53.04,1.42351,464.17415,42
0,128,heavy,54,690,690,True,26139,28416,6216,5.97661,109.97,60.47,49.5,1.3285,295.84223,62
0,128,light,54,780,780,True,35813,41856,9156,7.74438,120.83,61.29,59.54,1.41358,461.1002,48
0,128,heavy,54,780,780,True,26139,28416,6216,5.28893,117.01,61.29,55.72,1.32289,294.69901,70
0,128,light,54,600,600,True,35813,41856,9156,10.03996,106.47,59.88,46.59,1.43796,467.76171,37
0,128,heavy,54,600,600,True,26139,28416,6216,6.85764,103.26,59.88,43.38,1.33889,297.48424,54
0,128,light,54,930,930,True,35813,41856,9156,6.50375,133.16,61.95,71.21,1.41796,463.13236,57
0,128,heavy,54,930,930,True,26139,28416,6216,4.44126,128.74,61.95,66.79,1.32995,296.63184,84
0,128,light,54,990,990,True,35813,41856,9156,6.11602,137.85,62.23,75.62,1.41452,462.4932,61
0,128,heavy,54,990,990,True,26139,28416,6216,4.17606,133.16,62.23,70.93,1.32679,296.20814,89
1,128,light,54,990,990,True,35813,41856,9156,6.11595,137.85,62.23,75.62,1.41452,462.48788,61
1,128,heavy,54,990,990,True,26139,28416,6216,4.17595,133.16,62.23,70.93,1.32679,296.20044,89
1,128,light,54,870,870,True,35813,41856,9156,6.94661,128.19,61.62,66.57,1.41699,462.43559,53
1,128,heavy,54,870,870,True,26139,28416,6216,4.74386,124.05,61.62,62.43,1.32886,296.1593,78
1,128,light,54,690,690,True,35813,41856,9156,8.75135,113.3,60.15,53.15,1.42646,465.13409,42
1,128,heavy,54,690,690,True,26139,28416,6216,5.9766,109.8,60.15,49.65,1.33253,296.73824,62
1,128,light,54,780,780,True,35813,41856,9156,7.74466,120.83,61.08,59.75,1.41857,462.74358,48
1,128,heavy,54,780,780,True,26139,28416,6216,5.28889,116.74,61.08,55.66,1.32146,294.3795,70
1,128,light,54,600,600,True,35813,41856,9156,10.03998,105.6,59.6,46.0,1.41975,461.83902,37
1,128,heavy,54,600,600,True,26139,28416,6216,6.85759,103.04,59.6,43.44,1.34074,297.89392,54
1,128,light,54,1065,1065,True,35813,41856,9156,5.70049,143.86,63.1,80.76,1.40428,460.37158,65
1,128,heavy,54,1065,1065,True,26139,28416,6216,3.89032,139.0,63.1,75.9,1.31977,295.27562,96
1,128,light,54,1155,1155,True,35813,41856,9156,5.25947,162.47,66.05,96.42,1.54594,507.11763,71
1,128,heavy,54,1155,1155,True,26139,28416,6216,3.59165,157.5,66.05,91.45,1.46625,328.45642,103
1,128,light,54,1035,1035,True,35813,41856,9156,5.85102,141.95,63.1,78.85,1.41081,461.35255,63
1,128,heavy,54,1035,1035,True,26139,28416,6216,3.99515,136.98,63.1,73.88,1.32188,295.1614,93
1,128,light,54,1290,1290,True,35813,41856,9156,4.71063,200.34,72.49,127.85,1.83534,602.25431,79
1,128,heavy,54,1290,1290,True,26139,28416,6216,3.21285,195.32,72.49,122.83,1.76328,394.63476,116
1,128,light,54,930,930,True,35813,41856,9156,6.50392,133.44,62.5,70.94,1.41258,461.38836,57
1,128,heavy,54,930,930,True,26139,28416,6216,4.44114,129.07,62.5,66.57,1.32557,295.64659,84
1,128,light,54,1245,1245,True,35813,41856,9156,4.87353,188.88,70.67,118.21,1.75829,576.10015,76
1,128,heavy,54,1245,1245,True,26139,28416,6216,3.32787,183.31,70.67,112.64,1.67544,374.85145,112
1,128,light,54,1200,1200,True,35813,41856,9156,5.05418,175.41,68.4,107.01,1.65139,540.84831,74
1,128,heavy,54,1200,1200,True,26139,28416,6216,3.45112,170.11,68.4,101.71,1.5696,351.01319,108
1,128,light,54,1110,1110,True,35813,41856,9156,5.47158,153.41,64.57,88.84,1.48215,486.09557,68
1,128,heavy,54,1110,1110,True,26139,28416,6216,3.7361,148.39,64.57,83.82,1.3984,313.16007,100
2,128,light,54,1035,1035,True,35813,41856,9156,5.85102,141.95,62.83,79.12,1.41564,462.93262,63
2,128,heavy,54,1035,1035,True,26139,28416,6216,3.99509,137.26,62.83,74.43,1.33172,297.35444,93
2,128,light,54,1065,1065,True,35813,41856,9156,5.69726,144.3,63.7,80.6,1.4015,459.1989,65
2,128,heavy,54,1065,1065,True,26139,28416,6216,3.88809,140.8,63.7,77.1,1.34064,299.77149,96
2,128,light,54,690,690,True,35813,41856,9156,8.75121,113.51,60.47,53.04,1.42351,464.16422,42
2,128,heavy,54,690,690,True,26139,28416,6216,5.97663,109.97,60.47,49.5,1.3285,295.84332,62
2,128,light,54,1200,1200,True,35813,41856,9156,5.05412,175.41,68.12,107.29,1.65571,542.25674,74
2,128,heavy,54,1200,1200,True,26139,28416,6216,3.45109,169.84,68.12,101.72,1.56975,351.04461,108
2,128,light,54,990,990,True,35813,41856,9156,6.11606,138.12,62.5,75.62,1.41452,462.4966,61
2,128,heavy,54,990,990,True,26139,28416,6216,4.17593,133.57,62.5,71.07,1.32941,296.78341,89
2,128,light,54,870,870,True,35813,41856,9156,6.94663,128.47,61.95,66.52,1.41592,462.08991,53
2,128,heavy,54,870,870,True,26139,28416,6216,4.74388,124.37,61.95,62.42,1.32865,296.1131,78
2,128,light,54,1110,1110,True,35813,41856,9156,5.47141,153.08,64.57,88.51,1.47664,484.2742,68
2,128,heavy,54,1110,1110,True,26139,28416,6216,3.73595,148.12,64.57,83.55,1.39389,312.13882,100
2,128,light,54,600,600,True,35813,41856,9156,10.04012,106.15,59.88,46.27,1.42809,464.55652,37
2,128,heavy,54,600,600,True,26139,28416,6216,6.85759,103.36,59.88,43.48,1.34198,298.16804,54
2,128,light,54,1155,1155,True,35813,41856,9156,5.25952,162.47,66.05,96.42,1.54594,507.12265,71
2,128,heavy,54,1155,1155,True,26139,28416,6216,3.59121,157.23,66.05,91.18,1.46192,327.44676,104
2,128,light,54,780,780,True,35813,41856,9156,7.74444,121.28,61.08,60.2,1.42925,466.21545,48
2,128,heavy,54,780,780,True,26139,28416,6216,5.28885,117.01,61.08,55.93,1.32787,295.80512,70
2,128,light,54,1290,1290,True,35813,41856,9156,4.70913,198.6,72.22,126.38,1.81424,595.13935,79
2,128,heavy,54,1290,1290,True,26139,28416,6216,3.21237,195.32,72.22,123.1,1.76715,395.44246,116
2,128,light,54,1245,1245,True,35813,41856,9156,4.87333,189.21,70.48,118.73,1.76603,578.61101,76
2,128,heavy,54,1245,1245,True,26139,28416,6216,3.32779,183.31,70.48,112.83,1.67827,375.47486,112
2,128,light,54,930,930,True,35813,41856,9156,6.50386,133.44,62.5,70.94,1.41258,461.38377,57
2,128,heavy,54,930,930,True,26139,28416,6216,4.44122,129.34,62.5,66.84,1.33094,296.85087,84
