pas,block_m,part,sms,clock,clock_med,held,real_rows,padded_rows,tiles,ms,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz_per_sm,e_dyn_mj,replays
1,128,heavy,54,1110,1110,True,61614,69120,15120,9.00414,151.34,64.3,87.04,1.45212,783.72067,41
2,128,light,54,1035,1035,True,338,1152,252,0.17359,138.46,62.76,75.7,1.35445,13.14062,500
2,128,heavy,54,1035,1035,True,61614,69120,15120,9.63652,141.35,62.76,78.59,1.40615,757.33446,38
2,128,light,54,1065,1065,True,338,1152,252,0.16891,143.69,63.42,80.27,1.39576,13.55803,500
2,128,heavy,54,1065,1065,True,61614,69120,15120,9.37883,145.77,63.42,82.35,1.43192,772.34695,39
2,128,light,54,690,690,True,338,1152,252,0.25649,112.16,60.47,51.69,1.38728,13.25801,500
2,128,heavy,54,690,690,True,61614,69120,15120,14.39483,112.43,60.47,51.96,1.39452,747.95519,26
2,128,light,54,1200,1200,True,338,1152,252,0.15053,164.27,69.0,95.27,1.47022,14.34089,500
2,128,heavy,54,1200,1200,True,61614,69120,15120,8.31716,174.2,69.0,105.2,1.62346,874.96569,44
2,128,light,54,990,990,True,338,1152,252,0.18078,134.03,62.23,71.8,1.34306,12.9797,500
2,128,heavy,54,990,990,True,61614,69120,15120,10.06737,136.38,62.23,74.15,1.38702,746.49533,37
2,128,light,54,870,870,True,338,1152,252,0.2047,126.4,61.62,64.78,1.37888,13.2602,500
2,128,heavy,54,870,870,True,61614,69120,15120,11.43664,126.99,61.62,65.37,1.39144,747.61336,32
2,128,light,54,1110,1110,True,338,1152,252,0.1623,146.65,64.3,82.35,1.37387,13.36535,500
2,128,heavy,54,1110,1110,True,61614,69120,15120,9.00331,151.34,64.3,87.04,1.45212,783.64803,41
2,128,light,54,600,600,True,338,1152,252,0.29399,105.06,59.88,45.18,1.39444,13.28263,500
2,128,heavy,54,600,600,True,61614,69120,15120,16.52892,105.0,59.88,45.12,1.39259,745.78466,22
2,128,light,54,1155,1155,True,338,1152,252,0.15628,110.9,66.33,44.57,0.71461,6.96561,500
2,128,heavy,54,1155,1155,True,61614,69120,15120,8.65428,160.72,66.33,94.39,1.51339,816.8776,43
2,128,light,54,780,780,True,338,1152,252,0.22793,119.08,60.75,58.33,1.38485,13.29514,500
2,128,heavy,54,780,780,True,61614,69120,15120,12.75553,119.36,60.75,58.61,1.3915,747.60135,29
2,128,light,54,1290,1290,True,338,1152,252,0.14043,186.26,71.9,114.36,1.64169,16.06012,500
2,128,heavy,54,1290,1290,True,61614,69120,15120,7.74214,199.75,71.9,127.85,1.83534,989.83234,48
2,128,light,54,1245,1245,True,338,1152,252,0.14499,73.89,70.48,3.41,0.05072,0.49441,500
2,128,heavy,54,1245,1245,True,61614,69120,15120,8.02012,187.13,70.48,116.65,1.73509,935.54668,46
2,128,light,54,930,930,True,338,1152,252,0.19195,122.93,61.95,60.98,1.21426,11.7052,500
2,128,heavy,54,930,930,True,61614,69120,15120,10.70713,131.69,61.95,69.74,1.38869,746.71533,34
