strategy,freq_mhz,msg_mib,latency_run1_ms,latency_run2_ms,abs_deviation_pct
AUTO,300,8.0,0.20717306797524238,0.20879506108412427,0.783
AUTO,300,16.0,0.5798716711619544,0.5797484460538321,0.021
AUTO,300,25.0,0.7533780655770932,0.7530870290902945,0.039
AUTO,300,32.0,0.8360709635416667,0.8358965743215461,0.021
AUTO,300,64.0,1.4043312862001618,1.399470279091283,0.346
AUTO,300,100.0,1.9988735961914064,1.9981875610351563,0.034
AUTO,300,128.0,2.4289404666785037,2.427388879024621,0.064
AUTO,300,256.0,4.769259643554688,4.7683584594726565,0.019
AUTO,510,8.0,0.18761067377519478,0.18796969719652862,0.191
AUTO,510,16.0,0.40316343470982147,0.40286023145053473,0.075
AUTO,510,25.0,0.5379927543744649,0.5383119336601828,0.059
AUTO,510,32.0,0.6038657308626576,0.6033090517502423,0.092
AUTO,510,64.0,1.079110843188142,1.0781169782366071,0.092
AUTO,510,100.0,1.574857626155931,1.572993562659439,0.118
AUTO,510,128.0,1.9374605618990384,1.9349401855468749,0.13
AUTO,510,256.0,3.7624003092447915,3.7566659109933034,0.152
AUTO,705,8.0,0.16621413389088419,0.16620314496118319,0.007
AUTO,705,16.0,0.32545255608514906,0.32533929213038026,0.035
AUTO,705,25.0,0.441582558371804,0.4420701113614169,0.11
AUTO,705,32.0,0.4979486993018617,0.4982939514932753,0.069
AUTO,705,64.0,0.9097663265535202,0.9097663265535202,0.0
AUTO,705,100.0,1.3392507618871228,1.3399345531798246,0.051
AUTO,705,128.0,1.6579584536345109,1.6579584536345109,0.0
AUTO,705,256.0,3.2332117716471354,3.241139221191406,0.245
AUTO,900,8.0,0.13992661874505538,0.13826548936631944,1.187
AUTO,900,16.0,0.2624782845993673,0.2619278166029188,0.21
AUTO,900,25.0,0.3574729440292874,0.35565696474653563,0.508
AUTO,900,32.0,0.4064219518361358,0.40545280943525597,0.238
AUTO,900,64.0,0.7500829496837798,0.7653607638377063,2.037
AUTO,900,100.0,1.1098683974322152,1.1108530238054801,0.089
AUTO,900,128.0,1.374025545987216,1.3756639515269886,0.119
AUTO,900,256.0,2.6771385455953665,2.679433677936422,0.086
AUTO,1200,8.0,0.10652014438643656,0.1062863100865844,0.22
AUTO,1200,16.0,0.20568725954729983,0.2054633953819977,0.109
AUTO,1200,25.0,0.28346068901523575,0.2827890652329174,0.237
AUTO,1200,32.0,0.3197075646202844,0.31855783336488164,0.36
AUTO,1200,64.0,0.5924474795002583,0.5939455817727481,0.253
AUTO,1200,100.0,0.8753714425223214,0.8765079707889767,0.13
AUTO,1200,128.0,1.076445613495291,1.077336205376519,0.083
AUTO,1200,256.0,2.067833187705592,2.0691428736636515,0.063
