ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
4,1410,0,0,0,comm_only,0,0,0,128,3.18374,813,1410,True,502.4,125.6,99,4
4,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.58501,4862,1215,False,1604.1,401.04,111,4
4,1200,0,0,0,comm_only,0,0,0,128,3.65571,709,1200,True,421.8,105.44,99,4
4,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.63333,4156,1200,True,1287.9,321.98,101,4
4,900,0,0,0,comm_only,0,0,0,128,4.67227,556,900,True,373.8,93.45,99,4
4,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.83269,3163,900,True,873.3,218.31,101,4
4,705,0,0,0,comm_only,0,0,0,128,5.84937,445,705,True,358.7,89.69,100,4
4,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.05381,2506,705,True,731.2,182.81,101,4
4,510,0,0,0,comm_only,0,0,0,128,7.66266,341,510,True,347.1,86.78,100,4
4,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.443,1815,510,True,595.3,148.83,100,4
4,300,0,0,0,comm_only,0,0,0,128,12.56488,207,300,True,334.8,83.7,100,4
4,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.41967,1081,300,True,454.5,113.61,100,4
