ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
4,1410,0,0,0,comm_only,0,0,0,128,3.18226,804,1410,True,505.9,126.47,97,4
4,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.58587,4856,1215,False,1605.7,401.43,112,4
4,1200,0,0,0,comm_only,0,0,0,128,3.65868,715,1200,True,422.6,105.66,100,4
4,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.63391,4141,1200,True,1290.9,322.72,101,4
4,900,0,0,0,comm_only,0,0,0,128,4.68823,556,900,True,374.7,93.68,100,4
4,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.83338,3174,900,True,873.1,218.27,102,4
4,705,0,0,0,comm_only,0,0,0,128,5.83682,446,705,True,360.0,90.01,99,4
4,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.05358,2499,705,True,733.2,183.29,101,4
4,510,0,0,0,comm_only,0,0,0,128,7.6534,340,510,True,348.6,87.15,99,4
4,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.44165,1821,510,True,598.9,149.72,101,4
4,300,0,0,0,comm_only,0,0,0,128,12.56704,207,300,True,336.3,84.08,99,4
4,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.41925,1081,300,True,455.8,113.96,100,4
