ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
8,1410,0,0,0,comm_only,0,0,0,128,1.78753,1466,1410,True,569.3,142.31,100,4
8,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.58992,4867,1215,False,1592.8,398.2,113,4
8,1200,0,0,0,comm_only,0,0,0,128,2.02319,1302,1200,True,468.6,117.15,101,4
8,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.63273,4163,1200,True,1295.9,323.97,101,4
8,900,0,0,0,comm_only,0,0,0,128,2.55497,1032,900,True,410.0,102.49,101,4
8,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.83269,3156,900,True,874.6,218.66,101,4
8,705,0,0,0,comm_only,0,0,0,128,3.15368,824,705,True,388.9,97.23,99,4
8,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.05269,2501,705,True,732.4,183.11,101,4
8,510,0,0,0,comm_only,0,0,0,128,4.03813,654,510,True,374.5,93.62,102,4
8,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.44062,1823,510,True,600.1,150.02,100,4
8,300,0,0,0,comm_only,0,0,0,128,6.39335,409,300,True,355.3,88.82,100,4
8,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.41893,1081,300,True,456.4,114.09,100,4
