ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
8,1410,0,0,0,comm_only,0,0,0,128,1.78864,1478,1410,True,569.9,142.48,101,4
8,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.58596,4878,1215,False,1591.2,397.8,112,4
8,1200,0,0,0,comm_only,0,0,0,128,2.02231,1313,1200,True,469.9,117.48,102,4
8,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.63279,4161,1200,True,1293.2,323.3,101,4
8,900,0,0,0,comm_only,0,0,0,128,2.56138,1030,900,True,409.7,102.43,102,4
8,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.83241,3160,900,True,873.9,218.49,101,4
8,705,0,0,0,comm_only,0,0,0,128,3.15133,823,705,True,389.0,97.26,99,4
8,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.05304,2501,705,True,731.4,182.86,101,4
8,510,0,0,0,comm_only,0,0,0,128,4.03901,652,510,True,373.0,93.24,101,4
8,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.44221,1823,510,True,597.7,149.42,101,4
8,300,0,0,0,comm_only,0,0,0,128,6.39368,407,300,True,355.0,88.76,100,4
8,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.41774,1081,300,True,456.0,113.99,100,4
