ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
8,1410,0,0,0,comm_only,0,0,0,128,1.80108,1474,1410,True,569.3,142.32,102,4
8,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.58851,4811,1215,False,1611.5,402.87,110,4
8,1200,0,0,0,comm_only,0,0,0,128,2.03944,1316,1200,True,469.2,117.3,103,4
8,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.63311,4165,1200,True,1288.8,322.21,101,4
8,900,0,0,0,comm_only,0,0,0,128,2.56214,1027,900,True,409.7,102.41,101,4
8,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.8331,3173,900,True,871.2,217.81,101,4
8,705,0,0,0,comm_only,0,0,0,128,3.15598,821,705,True,390.3,97.58,99,4
8,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.05368,2502,705,True,731.8,182.94,101,4
8,510,0,0,0,comm_only,0,0,0,128,4.0449,653,510,True,373.8,93.45,101,4
8,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.44149,1819,510,True,596.8,149.2,100,4
8,300,0,0,0,comm_only,0,0,0,128,6.40663,408,300,True,354.8,88.69,100,4
8,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.41844,1081,300,True,456.0,114.0,100,4
