m,n,k,freq_mhz,sm_count,gflop,latency_ms,power_w,energy_mj,gflops,throttled
1024,16384,16384,300,108,549.756,9.13322639465332,101.43560000000002,0.926,60192.9,False
1024,16384,16384,510,14,549.756,46.130859375,68.15472727272727,3.144,11917.3,False
1024,16384,16384,510,27,549.756,21.482666015625,77.19172727272726,1.658,25590.7,False
1024,16384,16384,510,54,549.756,10.728277842203775,98.9117,1.061,51243.6,False
1024,16384,16384,510,81,549.756,7.51803716023763,117.87869999999998,0.886,73124.9,False
1024,16384,16384,510,108,549.756,5.379413604736328,135.6127,0.73,102196.2,False
1024,16384,16384,705,14,549.756,33.3851318359375,74.79027272727272,2.497,16467.1,False
1024,16384,16384,705,27,549.756,15.543807983398438,90.6071,1.408,35368.2,False
1024,16384,16384,705,54,549.756,7.760213216145833,110.42159999999998,0.857,70842.9,False
1024,16384,16384,705,81,549.756,5.445632298787435,128.00690000000003,0.697,100953.5,False
1024,16384,16384,705,108,549.756,3.902463912963867,166.90829999999997,0.651,140874.0,False
1024,16384,16384,900,14,549.756,26.1572265625,82.53581818181816,2.159,21017.4,False
1024,16384,16384,900,27,549.756,12.183211008707682,103.6241,1.262,45124.0,False
1024,16384,16384,900,54,549.756,6.081194559733073,136.14499999999998,0.828,90402.6,False
1024,16384,16384,900,81,549.756,4.263423919677734,168.0142,0.716,128947.0,False
1024,16384,16384,900,108,549.756,3.0532267888387046,203.0867,0.62,180057.3,False
1024,16384,16384,1200,14,549.756,19.62086359659831,107.8134,2.115,28018.9,False
1024,16384,16384,1200,27,549.756,9.137834548950195,148.0226,1.353,60162.6,False
1024,16384,16384,1200,54,549.756,4.563797314961751,196.0294,0.895,120460.2,False
1024,16384,16384,1200,81,549.756,3.2006826400756836,241.7114,0.774,171762.1,False
1024,16384,16384,1200,108,549.756,2.2951253255208335,320.4612,0.735,239531.9,False
1024,16384,16384,1410,14,549.756,16.714239756266277,138.99009090909092,2.323,32891.5,False
1024,16384,16384,1410,27,549.756,7.779669443766276,220.60260000000002,1.716,70665.7,False
