rep,m,n,k,freq_req_mhz,n_squat,sm_avail,latency_ms,power_w,energy_mj,gflops,clock_sm_med,clock_sm_min,clock_held,throttle,temp_c,p_squat_w,probe_sm_count,probe_ok,iters,window_s,n_samples,power_min_w,power_max_w,status
1,1024,4096,4096,510,0,108,0.56296,118.861,66.9139,61034.1,510,510,True,none,43,60.655,108,True,3313,1.865,28,118.324,119.183,ok
1,8192,16384,16384,510,0,108,40.666592,157.867,6419.9129,108148.9,510,510,True,none,46,60.655,108,True,48,1.952,29,155.441,158.135,ok
1,1024,8192,8192,510,0,108,1.43544,150.326,215.7839,95746.9,510,510,True,none,46,60.655,108,True,1349,1.936,29,150.207,150.483,ok
1,4096,8192,8192,510,0,108,5.43122,151.073,820.5107,101221.4,510,510,True,none,46,60.655,108,True,362,1.966,30,150.207,151.671,ok
1,2048,8192,8192,510,0,108,2.724272,150.483,409.9566,100899.6,510,510,True,none,46,60.655,108,True,722,1.967,30,149.938,151.073,ok
1,2048,4096,4096,510,0,108,0.842716,136.155,114.74,81545.3,510,510,True,none,45,60.655,108,True,2250,1.896,28,131.652,139.477,ok
1,1024,16384,16384,510,0,108,5.364474,153.127,821.4459,102480.8,510,510,True,none,46,60.655,108,True,368,1.974,30,152.529,153.985,ok
1,2048,16384,16384,510,0,108,10.70889,152.261,1630.5463,102672.8,510,510,True,none,46,60.655,108,True,184,1.97,30,149.617,153.663,ok
1,4096,16384,16384,510,0,108,20.351021,156.307,3181.0071,108054.7,510,510,True,none,47,60.655,108,True,97,1.974,30,155.985,156.897,ok
1,4096,4096,4096,510,0,108,1.402778,150.207,210.7071,97976.3,510,510,True,none,47,60.655,108,True,1371,1.923,29,149.938,150.483,ok
1,8192,8192,8192,510,0,108,10.320999,155.985,1609.921,106531.5,510,510,True,none,47,60.655,108,True,191,1.971,29,155.88,156.307,ok
1,8192,4096,4096,510,0,108,2.786132,151.341,421.656,98659.3,510,510,True,none,47,60.655,108,True,679,1.892,28,150.805,151.939,ok
1,4096,8192,8192,510,94,14,43.347182,78.638,3408.7357,12682.6,510,510,True,none,41,62.542,14,True,45,1.951,29,78.288,78.638,ok
1,4096,4096,4096,510,94,14,11.115632,74.319,826.1027,12364.5,510,510,True,none,41,62.542,14,True,178,1.979,30,73.919,74.319,ok
1,8192,16384,16384,510,94,14,340.029773,80.096,27235.0247,12934.3,510,510,True,none,41,62.542,14,True,5,1.7,24,79.422,80.096,ok
1,4096,16384,16384,510,94,14,170.045051,79.827,13574.1862,12932.0,510,510,True,none,40,62.542,14,True,11,1.87,27,79.505,80.096,ok
1,1024,16384,16384,510,94,14,42.785441,78.968,3378.6807,12849.1,510,510,True,none,40,62.542,14,True,46,1.968,30,78.556,79.236,ok
