rep,m,n,k,freq_req_mhz,n_squat,sm_avail,latency_ms,power_w,energy_mj,gflops,clock_sm_med,clock_sm_min,clock_held,throttle,temp_c,p_squat_w,probe_sm_count,probe_ok,iters,window_s,n_samples,power_min_w,power_max_w,status,p_static_w,p_static_squat_w,p_dynamic_w,energy_total_mj,energy_dynamic_mj,energy_static_mj,static_frac,p_dynamic_per_sm_w,e_dyn_squat_mj
1,8192,4096,4096,510,27,81,3.741026,130.196,487.0666,73476.6,510,510,True,none,44,61.79,81,True,523,1.957,29,129.465,130.464,ok,57.602,60.923,72.594,487.0666,271.576,215.4906,0.4424,0.8962,259.1521
1,4096,8192,8192,510,27,81,7.30099,132.786,969.4692,75298.8,510,510,True,none,44,61.79,81,True,270,1.971,30,131.92,133.967,ok,57.602,60.923,75.184,969.4693,548.9176,420.5516,0.4338,0.9282,524.671
1,2048,8192,8192,510,54,54,5.865891,109.312,641.2123,46860.4,510,510,True,none,42,62.381,54,True,335,1.965,30,108.237,110.768,ok,57.602,60.923,51.71,641.2123,303.3252,337.8871,0.527,0.9576,283.8446
1,1024,16384,16384,510,54,54,11.577014,109.58,1268.6092,47486.8,510,510,True,none,43,62.381,54,True,171,1.98,30,107.7,110.615,ok,57.602,60.923,51.978,1268.6092,601.75,666.8592,0.5257,0.9626,563.3028
1,8192,8192,8192,510,54,54,21.697082,113.09,2453.723,50675.6,510,510,True,none,43,62.381,54,True,91,1.974,30,112.492,113.477,ok,57.602,60.923,55.488,2453.723,1203.9277,1249.7953,0.5093,1.0276,1131.8717
1,8192,16384,16384,510,54,54,85.59467,115.256,9865.2992,51382.2,510,510,True,none,43,62.381,54,True,23,1.969,30,112.94,116.002,ok,57.602,60.923,57.654,9865.2993,4934.8751,4930.4242,0.4998,1.0677,4650.6152
1,2048,4096,4096,510,54,54,1.51154,105.265,159.1122,45463.2,510,510,True,none,43,62.381,54,True,1278,1.932,29,104.943,105.643,ok,57.602,60.923,47.663,159.1123,72.0445,87.0677,0.5472,0.8826,67.0247
1,2048,16384,16384,510,54,54,21.981827,114.343,2513.4681,50019.1,510,510,True,none,43,62.381,54,True,90,1.978,30,112.492,114.666,ok,57.602,60.923,56.741,2513.468,1247.2708,1266.1972,0.5038,1.0508,1174.2692
1,1024,8192,8192,510,54,54,3.052421,104.675,319.5121,45026.2,510,510,True,none,42,62.381,54,True,640,1.954,29,104.399,105.265,ok,57.602,60.923,47.073,319.5122,143.6866,175.8256,0.5503,0.8717,133.5495
1,4096,4096,4096,510,54,54,2.998385,105.265,315.625,45837.7,510,510,True,none,42,62.381,54,True,651,1.952,29,104.399,105.809,ok,57.602,60.923,47.663,315.625,142.912,172.713,0.5472,0.8826,132.9544
1,1024,4096,4096,510,54,54,0.867534,100.628,87.2983,39606.2,510,510,True,none,42,62.381,54,True,2030,1.761,26,100.031,100.733,ok,57.602,60.923,43.026,87.2982,37.3265,49.9717,0.5724,0.7968,34.4454
1,4096,16384,16384,510,54,54,42.823289,115.136,4930.5022,51351.1,510,510,True,none,43,62.381,54,True,46,1.97,30,113.68,115.68,ok,57.602,60.923,57.534,4930.5022,2463.7951,2466.7071,0.5003,1.0654,2321.579
1,8192,4096,4096,510,54,54,5.697195,107.587,612.9441,48247.9,510,510,True,none,43,62.381,54,True,342,1.948,29,106.989,107.855,ok,57.602,60.923,49.985,612.9441,284.7743,328.1698,0.5354,0.9256,265.8539
1,4096,8192,8192,510,54,54,11.136006,111.634,1243.1569,49367.4,510,510,True,none,43,62.381,54,True,177,1.971,30,110.768,112.019,ok,57.602,60.923,54.032,1243.1569,601.7007,641.4562,0.516,1.0006,564.718
1,1024,4096,4096,510,0,108,0.56296,118.861,66.9139,61034.1,510,510,True,none,43,60.655,108,True,3313,1.865,28,118.324,119.183,ok,57.602,59.466,61.259,66.914,34.4864,32.4276,0.4846,0.5672,33.437
1,8192,16384,16384,510,0,108,40.666592,157.867,6419.9129,108148.9,510,510,True,none,46,60.655,108,True,48,1.952,29,155.441,158.135,ok,57.602,59.466,100.265,6419.9129,4077.4358,2342.477,0.3649,0.9284,4001.6333
1,1024,8192,8192,510,0,108,1.43544,150.326,215.7839,95746.9,510,510,True,none,46,60.655,108,True,1349,1.936,29,150.207,150.483,ok,57.602,59.466,92.724,215.784,133.0997,82.6842,0.3832,0.8586,130.4241
1,4096,8192,8192,510,0,108,5.43122,151.073,820.5107,101221.4,510,510,True,none,46,60.655,108,True,362,1.966,30,150.207,151.671,ok,57.602,59.466,93.471,820.5107,507.6616,312.8491,0.3813,0.8655,497.5378
1,2048,8192,8192,510,0,108,2.724272,150.483,409.9566,100899.6,510,510,True,none,46,60.655,108,True,722,1.967,30,149.938,151.073,ok,57.602,59.466,92.881,409.9566,253.0331,156.9235,0.3828,0.86,247.9551
1,2048,4096,4096,510,0,108,0.842716,136.155,114.74,81545.3,510,510,True,none,45,60.655,108,True,2250,1.896,28,131.652,139.477,ok,57.602,59.466,78.553,114.74,66.1979,48.5421,0.4231,0.7273,64.627
1,1024,16384,16384,510,0,108,5.364474,153.127,821.4459,102480.8,510,510,True,none,46,60.655,108,True,368,1.974,30,152.529,153.985,ok,57.602,59.466,95.525,821.4458,512.4414,309.0044,0.3762,0.8845,502.442
1,2048,16384,16384,510,0,108,10.70889,152.261,1630.5463,102672.8,510,510,True,none,46,60.655,108,True,184,1.97,30,149.617,153.663,ok,57.602,59.466,94.659,1630.5463,1013.6928,616.8535,0.3783,0.8765,993.7314
1,4096,16384,16384,510,0,108,20.351021,156.307,3181.0071,108054.7,510,510,True,none,47,60.655,108,True,97,1.974,30,155.985,156.897,ok,57.602,59.466,98.705,3181.007,2008.7475,1172.2595,0.3685,0.9139,1970.8132
1,4096,4096,4096,510,0,108,1.402778,150.207,210.7071,97976.3,510,510,True,none,47,60.655,108,True,1371,1.923,29,149.938,150.483,ok,57.602,59.466,92.605,210.7071,129.9043,80.8028,0.3835,0.8575,127.2895
1,8192,8192,8192,510,0,108,10.320999,155.985,1609.921,106531.5,510,510,True,none,47,60.655,108,True,191,1.971,29,155.88,156.307,ok,57.602,59.466,98.383,1609.921,1015.4108,594.5102,0.3693,0.911,996.1725
1,8192,4096,4096,510,0,108,2.786132,151.341,421.656,98659.3,510,510,True,none,47,60.655,108,True,679,1.892,28,150.805,151.939,ok,57.602,59.466,93.739,421.656,261.1692,160.4868,0.3806,0.868,255.9759
1,4096,8192,8192,510,94,14,43.347182,78.638,3408.7357,12682.6,510,510,True,none,41,62.542,14,True,45,1.951,29,78.288,78.638,ok,57.602,60.923,21.036,3408.7357,911.8513,2496.8844,0.7325,1.5026,767.8953
1,4096,4096,4096,510,94,14,11.115632,74.319,826.1027,12364.5,510,510,True,none,41,62.542,14,True,178,1.979,30,73.919,74.319,ok,57.602,60.923,16.717,826.1027,185.82,640.2826,0.7751,1.1941,148.905
1,8192,16384,16384,510,94,14,340.029773,80.096,27235.0247,12934.3,510,510,True,none,41,62.542,14,True,5,1.7,24,79.422,80.096,ok,57.602,60.923,22.494,27235.0247,7648.6297,19586.395,0.7192,1.6067,6519.3908
1,4096,16384,16384,510,94,14,170.045051,79.827,13574.1862,12932.0,510,510,True,none,40,62.542,14,True,11,1.87,27,79.505,80.096,ok,57.602,60.923,22.225,13574.1863,3779.2513,9794.935,0.7216,1.5875,3214.5316
1,1024,16384,16384,510,94,14,42.785441,78.968,3378.6807,12849.1,510,510,True,none,40,62.542,14,True,46,1.968,30,78.556,79.236,ok,57.602,60.923,21.366,3378.6807,914.1537,2464.527,0.7294,1.5261,772.0633
1,1024,8192,8192,510,94,14,11.476666,73.996,849.2274,11975.5,510,510,True,none,40,62.542,14,True,173,1.985,30,73.919,74.319,ok,57.602,60.923,16.394,849.2274,188.1485,661.0789,0.7784,1.171,150.0345
1,8192,4096,4096,510,94,14,22.152811,74.319,1646.3747,12408.3,510,510,True,none,40,62.542,14,True,89,1.972,30,73.996,74.587,ok,57.602,60.923,16.717,1646.3748,370.3285,1276.0462,0.7751,1.1941,296.7591
1,8192,8192,8192,510,94,14,86.127911,78.638,6772.9267,12766.0,510,510,True,none,40,62.542,14,True,23,1.981,30,78.288,78.886,ok,57.602,60.923,21.036,6772.9267,1811.7867,4961.1399,0.7325,1.5026,1525.7559
