ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
32,1410,0,0,0,comm_only,0,0,0,128,1.02267,2597,1410,True,671.1,167.76,102,4
32,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.58742,4846,1215,False,1588.7,397.16,112,4
32,1200,0,0,0,comm_only,0,0,0,128,1.06843,2474,1200,True,555.0,138.75,102,4
32,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.63304,4180,1200,True,1296.9,324.22,102,4
32,900,0,0,0,comm_only,0,0,0,128,1.37452,1924,900,True,470.5,117.62,102,4
32,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.83327,3173,900,True,874.2,218.55,102,4
32,705,0,0,0,comm_only,0,0,0,128,1.70732,1535,705,True,440.9,110.22,101,4
32,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.05374,2494,705,True,734.8,183.69,101,4
32,510,0,0,0,comm_only,0,0,0,128,1.9032,1381,510,True,426.0,106.5,100,4
32,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.44161,1824,510,True,599.1,149.78,101,4
32,300,0,0,0,comm_only,0,0,0,128,2.12307,1238,300,True,414.0,103.51,101,4
32,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.41914,1082,300,True,456.9,114.21,100,4
