ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
32,1410,0,0,0,comm_only,0,0,0,128,1.02319,2595,1410,True,672.3,168.07,102,4
32,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.5886,4848,1230,False,1595.4,398.85,112,4
32,1200,0,0,0,comm_only,0,0,0,128,1.06911,2482,1200,True,555.0,138.74,102,4
32,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.63232,4167,1200,True,1297.4,324.35,101,4
32,900,0,0,0,comm_only,0,0,0,128,1.37309,1922,900,True,471.9,117.99,101,4
32,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.83241,3152,900,True,874.0,218.5,100,4
32,705,0,0,0,comm_only,0,0,0,128,1.70921,1529,705,True,441.1,110.27,100,4
32,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.05347,2504,705,True,735.6,183.91,101,4
32,510,0,0,0,comm_only,0,0,0,128,1.90554,1389,510,True,426.9,106.72,102,4
32,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.44153,1819,510,True,601.8,150.44,100,4
32,300,0,0,0,comm_only,0,0,0,128,2.12312,1241,300,True,414.4,103.59,101,4
32,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.41916,1082,300,True,457.9,114.48,100,4
