ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
32,1410,0,0,0,comm_only,0,0,0,128,1.02745,2566,1410,True,652.2,163.05,101,4
32,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.58861,4820,1230,False,1617.0,404.25,111,4
32,1200,0,0,0,comm_only,0,0,0,128,1.07393,2486,1200,True,545.2,136.29,103,4
32,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.63399,4166,1200,True,1272.4,318.09,101,4
32,900,0,0,0,comm_only,0,0,0,128,1.33478,1981,900,True,467.6,116.9,102,4
32,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.83249,3163,900,True,861.0,215.24,101,4
32,705,0,0,0,comm_only,0,0,0,128,1.70913,1538,705,True,435.1,108.78,101,4
32,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.05353,2490,705,True,726.5,181.61,101,4
32,510,0,0,0,comm_only,0,0,0,128,1.92208,1371,510,True,419.8,104.96,101,4
32,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.44192,1817,510,True,593.4,148.34,100,4
32,300,0,0,0,comm_only,0,0,0,128,2.14572,1219,300,True,408.3,102.08,100,4
32,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.41932,1081,300,True,452.7,113.18,100,4
