ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
32,1410,0,0,0,comm_only,0,0,0,128,1.03402,2565,1410,True,662.1,165.53,101,4
32,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.58519,4817,1245,False,1603.9,400.97,110,4
32,1200,0,0,0,comm_only,0,0,0,128,1.08499,2476,1200,True,548.5,137.13,104,4
32,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.6339,4164,1200,True,1285.7,321.43,102,4
32,900,0,0,0,comm_only,0,0,0,128,1.35137,1963,900,True,469.7,117.43,102,4
32,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.83338,3175,900,True,868.0,217.0,102,4
32,705,0,0,0,comm_only,0,0,0,128,1.72252,1537,705,True,437.3,109.33,102,4
32,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.05353,2489,705,True,727.6,181.9,101,4
32,510,0,0,0,comm_only,0,0,0,128,1.92261,1366,510,True,422.8,105.69,101,4
32,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.44166,1822,510,True,597.3,149.32,101,4
32,300,0,0,0,comm_only,0,0,0,128,2.13222,1234,300,True,412.1,103.03,101,4
32,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.42112,1081,300,True,456.0,114.01,100,4
